membership_id	object_id	coverage_evidence_row_id	fragment_id	membership_scope	membership_state	necessity_evidence	target_inclusion_state	authority_issue_ids
membership:01c970a19621af0a4b340cc4	object:e4e455da0829126d0fc2a4c2	selected:1db3e19f8149cb08a78c	base-obsidian-x11-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_PASSIVE_BASE_PRESSURE;GRAPHICS_NARRATIVE_SECONDARY_PRESSURE_REJECTED_AS_MEMBERSHIP	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:fbb9aff66ec7f30c0956ef3c	object:1257597210f43630e7c8a745	selected:d5b550feb81ec3343b69	glibc-locale-data-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001;AUTH-008
membership:11d4ce2b4251a269e3d2dd53	object:2d776e660519a0af4e766d36	selected:c21c9e2893a96d410c6d	glibc-locale-data-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001;AUTH-008
membership:3eeef0d7e713a60d7e99a946	object:2dfac9ea94abf72ba888bcbe	selected:1320eec056bc603c5bb6	glibc-locale-data-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001;AUTH-008
membership:bfb948cbc69ac0c84ff97484	object:30b9a5f08480a634e2f016e1	selected:3c5e111c4a89c395a74b	glibc-locale-data-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001;AUTH-008
membership:c232147c61490b6fd479e4f6	object:5172617c05a37b20bf980ca0	selected:b8a5dd35fa872ea8c4d7	glibc-locale-data-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001;AUTH-008
membership:b55af41c337e6128780fc138	object:9bcdb29af2d6244ad5bffc06	selected:69014eb1738d6387d46a	glibc-locale-data-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001;AUTH-008
membership:0f619419c9c207d111043e6e	object:aa4205372efcb950e2cb6f37	selected:2c250f2a07af4d46cf25	glibc-locale-data-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001;AUTH-008
membership:673980d8f0a653f15e79a682	object:b4b7da39151376fdb0e8f7c3	selected:5cfda30314e8834402ee	glibc-locale-data-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001;AUTH-008
membership:012524c29f2513abc8116e2e	object:c2200fc75f8f268d9e8d7107	selected:62f39d547393cc53317b	glibc-locale-data-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001;AUTH-008
membership:4189517273c3c318c7e47c29	object:c39329bc8f9fd0a7bd7faa92	selected:c56980366abb0f109634	glibc-locale-data-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001;AUTH-008
membership:a0471777f0dd4a5cf3538748	object:f062bf818ec7c394208e4b12	selected:0bf683922a203d5e6cbf	glibc-locale-data-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001;AUTH-008
membership:5c063b1af04ac8fb627230f3	object:ff22236475c720a2c0c598e1	selected:5723c53b10ad9778cf1e	glibc-locale-data-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001;AUTH-008
membership:eee1c6965cf64240e154f15c	object:1969de5b3ffa90af342e1574	selected:84b003c68194803bf259	graphics-freedreno-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:b91d84b78138a30c8b54f5bd	object:2dc864a8050acf3ab0eb896d	selected:884a97ff626f34467a9e	graphics-freedreno-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:3bf0150ff21989fb9c171e9b	object:4205855cce5501831acbcb88	selected:3e33aa3d32bd66274006	graphics-freedreno-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:f586f2866ef383cb1e9eb6c0	object:4c03a9a2d4770a862c70dc16	selected:f4ed015674a377a1eb16	graphics-freedreno-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:fa29bad158fdc47f52ae3396	object:5a0652d801ce63a2e33ccb1b	selected:0708bc3a0fd4e2c42619	graphics-freedreno-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:c6716dbe649b09a944736ae3	object:6835963ff1be924f73cdd59f	selected:4f5c5fdcf7509a428f86	graphics-freedreno-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005;AUTH-003;AUTH-004
membership:8613b8f8dd254fd4745da026	object:7ab88f66a4c53d8841cbfa3a	selected:8a9c16292d5355e28a1f	graphics-freedreno-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:138e8aff2214efca7eded32a	object:8039415811aa6c775e594574	selected:def58839d764caaa6426	graphics-freedreno-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:b10ab9c41478195ea9410477	object:9cca00af0761fdaf9e29d1ee	selected:c122af7e5dd0503cfd4a	graphics-freedreno-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:d4aa94d2030cd5ad67ca321f	object:db5ce18da1b567a27ecd1a9e	selected:f9a130c166e81e1375e4	graphics-freedreno-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:de68a095adc530545b81857e	object:ef12d668682ac99dba386b01	selected:56706cfbedc0feb1aa04	graphics-freedreno-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:298749f49ada1a90287de207	object:21d47963d42a5b1c4008c88a	selected:8fdf508a690beba4a440	gtk-font-device-compat-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003
membership:0b146bc1e6fe2282c2f570eb	object:46ae61c88b9a2f32b13dfe81	selected:c7119883ae6fa812e032	gtk-font-device-compat-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003
membership:7b174c2043675d5c00cfe011	object:57e7e3396724848d94c04c4a	selected:f46e2ef79c08b615a4a1	gtk-font-device-compat-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003
membership:e2790c62df2ded65f335c054	object:6835963ff1be924f73cdd59f	selected:4f5c5fdcf7509a428f86	gtk-font-device-compat-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005;AUTH-003;AUTH-004
membership:9244723302ae0ebe15d7d4a4	object:79a8128d9967c2a2fdc73416	selected:74956b4ff456366345bf	gtk-font-device-compat-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003;AUTH-004
membership:88f093fc27db4c04029c67e7	object:8a6f8fad77f495d7a0947ae6	selected:44dec56d061cefaae918	gtk-font-device-compat-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003
membership:64e5f6e33e94a3a4054f6b9d	object:8faac8e6d945bf1d5f113d98	selected:bff711efae3acc3ae92b	gtk-font-device-compat-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003
membership:a87091d5ed6c68f3e7c1a81b	object:93de8c4bb245b253dfc35734	selected:4b1c2718defbff49e8bf	gtk-font-device-compat-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003
membership:499de643a58c5fe7276a7f10	object:c3656101f42f24ed0043c0fe	selected:3512b3932a20f0c55eef	gtk-font-device-compat-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003
membership:5e39604deae7b3b3071f806c	object:c560ec0574d7ee5b1b773869	selected:4561ee8198805d29e28d	gtk-font-device-compat-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003
membership:af9c2c9ea407fc31c791bf30	object:e86d7a0f2c3be107c901c4c3	selected:26b43bfef72cfc877f24	gtk-font-device-compat-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003;AUTH-004
membership:2fde30b5c0b5b9bba779d274	object:eb3060f4c34f9e1f10b249fd	selected:dd9175232a65f32a7859	gtk-font-device-compat-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003
membership:91d83dd7ce6b3c12a430ad2d	object:0f5f2499f00d8d98ed5ba1f8	-	optional-termux-exec-provider-fragment	OPTIONAL_NON_DENOMINATOR_OBJECT	OPTIONAL_SUPPLY_LOCK_ACCEPTED_NECESSITY_UNPROVEN	NO_SELECTED_REFERENCE_OR_UNIQUE_CHILD_EXEC_FAILURE	BLOCKED_PENDING_AUTH_002	AUTH-002
membership:9b26f7555f44ec41ccd2e965	object:0b323de9cae8be56bb950f6e	selected:5af8d254bb4f5f98b907	printing-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-004
membership:c01e922d77f826efe6eabe5c	object:1aa7548de3759b97324cd8c0	selected:76fc1a69ba48351da14d	printing-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-004
membership:3cdea181a8415643dc1d781f	object:3c819f7e21c052411be1fa98	selected:b43cacac7f916892c956	printing-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-004
membership:727d484aa2aaf5240bdc07dc	object:4a793b4fed75b236775f74dd	selected:a87bb0ebfae66d0c45c7	printing-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-004
membership:0449c83c41ad78d6c4bb25ae	object:54d50134426dc7a92595c944	selected:87750cf46616db4ba0f1	printing-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-004
membership:7d220cbe47eac9c4be5848f4	object:578e986a2ad698ae4063d218	selected:45f912b46453a9ba2e3d	printing-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-004
membership:a10c52bfa6ce92e2f8705082	object:6835963ff1be924f73cdd59f	selected:4f5c5fdcf7509a428f86	printing-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005;AUTH-003;AUTH-004
membership:4027777d908c71a867101241	object:79a8128d9967c2a2fdc73416	selected:74956b4ff456366345bf	printing-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003;AUTH-004
membership:45d0d07c8a107eba8e7a3d8a	object:bd49087ccf47689e2badf203	selected:c140680c37ea91583f9a	printing-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-004
membership:c38f41ae54f3ace46c61d6ae	object:e502dd3c7ee2526e1093dc6f	selected:4176ffe9b032818d53b8	printing-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-004
membership:b72c95019cf6af8cc08e5dd2	object:e86d7a0f2c3be107c901c4c3	selected:26b43bfef72cfc877f24	printing-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	CONDITIONAL_CAPABILITY_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-003;AUTH-004
membership:b6955e55a4f250f1af92eed5	object:665384fb6018e1a41ce21e54	selected:451b050248d455f4fecd	world-core-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001
membership:0de2a3ff55e0c0f1fe89cdbf	object:7c7925a89670f9042b3cedde	selected:fbea1ad9fa73bc68c85f	world-core-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001
membership:86cbb4ed0bbe2d48b1a87958	object:7f1eac5c1856f7531b39bfe2	selected:a9960bbcec973e04dc2f	world-core-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001
membership:ca4df4e7156f32806d3cb966	object:8eb7373d62cd66d8ddeb473a	selected:66ea89491001dc942569	world-core-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001
membership:7770241521f7a42f4360a470	object:95e8df6a84408700b6e3718a	selected:7d0a43944e26da776c60	world-core-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001
membership:714f411e7852bf0a9a563104	object:b4875f58f4614f15bf7d23c6	selected:f72e23110fa3d8ff41aa	world-core-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-001
