provider_object_id	composition_row_id	provider_review_id	recipe_root	artifact_package	artifact_version	member_basename	member_sha256	soname	binding_state	authority_effect
object:6835963ff1be924f73cdd59f	COMP-FREETYPE-TRANSITIVE-ZLIB-001	FREETYPE-TRANSITIVE-ZLIB-001	gpkg/zlib	zlib-glibc	1.3.1	libz.so.1.3.1	6835963ff1be924f73cdd59f29f2e2521d1705b3ce2d0e90a0c0fd4c5773a070	libz.so.1	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:71668fd02e89fa7546446bb7	COMP-FRIBIDI-PROV-001	FRIBIDI-PROV-001	gpkg/fribidi	fribidi-glibc	1.0.16	libfribidi.so.0.4.0	71668fd02e89fa7546446bb7961bb618f6d22e1506f7444bbea6788befbb7895	libfribidi.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:0c1404c6854e7674428a5b65	COMP-GDKPIXBUF-PROV-001	GDKPIXBUF-PROV-001	project/upstream-gdk-pixbuf	project-gdk-pixbuf	2.42.12	libgdk_pixbuf-2.0.so.0.4200.12	0c1404c6854e7674428a5b653b240759dac0374631697fe61ae275898f6a809f	libgdk_pixbuf-2.0.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:e0504b50e14870623e10490d	COMP-GDKPIXBUF-REF-PROV-GLIB-001-1	GDKPIXBUF-REF-PROV-GLIB-001	gpkg/glib	glib-glibc	2.82.2-2	libglib-2.0.so.0.8200.2	e0504b50e14870623e10490d76b78c7a8d0037a54fe354429e2e3b5ac07ae0d5	libglib-2.0.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:de13928664709a9cecd61f50	COMP-GDKPIXBUF-REF-PROV-GLIB-001-2	GDKPIXBUF-REF-PROV-GLIB-001	gpkg/glib	glib-glibc	2.82.2-2	libgobject-2.0.so.0.8200.2	de13928664709a9cecd61f50dcc4d2294d0c2ff91f147d0827d209cd03af45a6	libgobject-2.0.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:feaad9c286e9a1af3cff94a7	COMP-GDKPIXBUF-REF-PROV-GLIB-001-3	GDKPIXBUF-REF-PROV-GLIB-001	gpkg/glib	glib-glibc	2.82.2-2	libgmodule-2.0.so.0.8200.2	feaad9c286e9a1af3cff94a78924f543bc0f4d7f8dfc05c9ec13eb1c3d8764bf	libgmodule-2.0.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:aa9fa8876fac733457027306	COMP-GDKPIXBUF-REF-PROV-GLIB-001-4	GDKPIXBUF-REF-PROV-GLIB-001	gpkg/glib	glib-glibc	2.82.2-2	libgio-2.0.so.0.8200.2	aa9fa8876fac7334570273064be05c3e65ba0f16d30a77a5929f48b12bfe64b3	libgio-2.0.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:00c9fd06c139699552c086b6	COMP-GDKPIXBUF-REF-PROV-LIBPNG-001-1	GDKPIXBUF-REF-PROV-LIBPNG-001	gpkg/libpng	libpng-glibc	1.6.47	libpng16.so.16.47.0	00c9fd06c139699552c086b60d116a01d067ceddddb29c56600bf9fd3bae746f	libpng16.so.16	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:6864b9050ddd5884642c98ea	COMP-GDKPIXBUF-UTIL-PROV-001-1	GDKPIXBUF-UTIL-PROV-001	gpkg/util-linux	libmount-glibc	2.40.2-1	libmount.so.1.1.0	6864b9050ddd5884642c98ea4df07e3ceaf78727324d6e9068d1866594ece1c2	libmount.so.1	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:21d47963d42a5b1c4008c88a	COMP-GDKPIXBUF-UTIL-PROV-001-2	GDKPIXBUF-UTIL-PROV-001	gpkg/util-linux	libblkid-glibc	2.40.2-1	libblkid.so.1.1.0	21d47963d42a5b1c4008c88a311c17142f57ee2f19cd30770f0befa364908fb3	libblkid.so.1	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:6caaa46abe585228b0fa45a6	COMP-GRAPHITE2-HARFBUZZ-PREQ-PROV-001	GRAPHITE2-HARFBUZZ-PREQ-PROV-001	gpkg/libgraphite	libgraphite-glibc	1.3.14	libgraphite2.so.3.2.1	6caaa46abe585228b0fa45a60bdbb5e9951384148963856d1ce2e886e5b06e7f	libgraphite2.so.3	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:a237c3070ff1704f119cc318	COMP-GTK3-CORE-PROV-001-1	GTK3-CORE-PROV-001	gpkg/gtk3/build.sh	gtk3-glibc	3.24.49	libgdk-3.so.0.2417.32	a237c3070ff1704f119cc318b6b837a9430a350648476123c1be75ba768d415d	libgdk-3.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:0404b91acdaa3a2558e3a112	COMP-GTK3-CORE-PROV-001-2	GTK3-CORE-PROV-001	gpkg/gtk3/build.sh	gtk3-glibc	3.24.49	libgtk-3.so.0.2417.32	0404b91acdaa3a2558e3a11214918692f64d0ba3cebaae4722e3aa4a61f31bc6	libgtk-3.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:179133d6e95f6e378f44ad92	COMP-HARFBUZZ-PROV-001	HARFBUZZ-PROV-001	gpkg/harfbuzz	harfbuzz-glibc	10.1.0	libharfbuzz.so.0.61010.0	179133d6e95f6e378f44ad9222255620ecdd39c30c5aedce028d99f2b28470c6	libharfbuzz.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:54dea7e30b9e02f5626a374e	COMP-LIBCLOUDPROVIDERS-PROV-001	LIBCLOUDPROVIDERS-PROV-001	gpkg/libcloudproviders	libcloudproviders-glibc	0.3.6	libcloudproviders.so.0.3.6	54dea7e30b9e02f5626a374e5b62e5e975684a426a940f525a18eb4ce9e4f030	libcloudproviders.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:8052746b4003c367e811dc26	COMP-LIBDATRIE-PROV-001	LIBDATRIE-PROV-001	gpkg/libdatrie	libdatrie-glibc	0.2.13	libdatrie.so.1.4.0	8052746b4003c367e811dc26686373455f687e11bf95cbbe8772a2069b86e7dd	libdatrie.so.1	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:403f566468fb5212173407d0	COMP-LIBEPOXY-PROV-001	LIBEPOXY-PROV-001	gpkg/libepoxy	libepoxy-glibc	1.5.10	libepoxy.so.0.0.0	403f566468fb5212173407d041a660af0ff459841e9b0ca2274e9c28ac98c723	libepoxy.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:3d3edba1ecd510ddac243a3c	COMP-LIBICONV-TRANSITIVE-PROV-001	LIBICONV-TRANSITIVE-PROV-001	gpkg/libiconv	libiconv-glibc	1.18	libiconv.so.2.7.0	3d3edba1ecd510ddac243a3c9a5a08341219b62bc4c874241a134bc7d250f5be	libiconv.so.2	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:a537840ef9da6135cb3284bc	COMP-LIBJPEG-PROV-001	LIBJPEG-PROV-001	gpkg/libjpeg-turbo	project-libjpeg-turbo-v6b	3.1.0	libjpeg.so.62.4.0	a537840ef9da6135cb3284bc3b3e0d1fb4f624180a416c2a3964b94714eb7fe5	libjpeg.so.62	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:773a629e30546b57d650d9d9	COMP-LIBTHAI-PROV-001	LIBTHAI-PROV-001	gpkg/libthai	libthai-glibc	0.1.29	libthai.so.0.3.1	773a629e30546b57d650d9d991d18c64490ef5cf53062fec1e02c69ece66bf9c	libthai.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:86e70b94186edb4c16cf00f2	COMP-LIBXCURSOR-PROV-001	LIBXCURSOR-PROV-001	gpkg/libxcursor	libxcursor-glibc	1.2.3	libXcursor.so.1.0.2	86e70b94186edb4c16cf00f2bcea4a03ea09bb486ee6a079dd11d3ef6fffe722	libXcursor.so.1	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:391916aff0965656e7b81ece	COMP-LIBXDAMAGE-PROV-001	LIBXDAMAGE-PROV-001	gpkg/libxdamage	libxdamage-glibc	1.1.6	libXdamage.so.1.1.0	391916aff0965656e7b81ece7766e3b22068462867b1dd88a0a051b3db9c2d7c	libXdamage.so.1	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:fee84d5d95a085a94d300186	COMP-LIBXKBCOMMON-PROV-001	LIBXKBCOMMON-PROV-001	gpkg/libxkbcommon	libxkbcommon-glibc	1.8.0	libxkbcommon.so.0.8.0	fee84d5d95a085a94d300186040a54b9844a491b599b1156867624af6b4e8ba9	libxkbcommon.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:7debdcbc3dec18f7377e53a0	COMP-PANGO-PROV-001-1	PANGO-PROV-001	gpkg/pango	pango-glibc	1.54.0	libpango-1.0.so.0.5400.0	7debdcbc3dec18f7377e53a07a4d14159cde68b4cc07f0ed1c087f9d56268336	libpango-1.0.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:d80ef53ee344d7661acfa9b2	COMP-PANGO-PROV-001-2	PANGO-PROV-001	gpkg/pango	pango-glibc	1.54.0	libpangoft2-1.0.so.0.5400.0	d80ef53ee344d7661acfa9b2fc863a61f24a2ff4f4492162eaa1582d62c2b305	libpangoft2-1.0.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:c5ac95a46ad20c9536c0d63b	COMP-PANGO-PROV-001-3	PANGO-PROV-001	gpkg/pango	pango-glibc	1.54.0	libpangocairo-1.0.so.0.5400.0	c5ac95a46ad20c9536c0d63b38e1ee728f2d71e865e5aad6034e65f89f0ba708	libpangocairo-1.0.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:cab54c7f8e4c3a5c1980aa75	COMP-PIXMAN-CAIRO-PREQ-PROV-001	PIXMAN-CAIRO-PREQ-PROV-001	gpkg/libpixman	libpixman-glibc	0.46.4	libpixman-1.so.0.46.4	cab54c7f8e4c3a5c1980aa7564b9321114418f2d3c6fa37a3c0723f9f22e1eb2	libpixman-1.so.0	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:271e82cbc4aa3db8ff36ad44	COMP-XORG-PROV-001	XORG-PROV-001	gpkg/libxfixes	libxfixes-glibc	6.0.1	libXfixes.so.3.1.0	271e82cbc4aa3db8ff36ad44735552153b6fbaa787bf59b6ec0b20f63d0f386d	libXfixes.so.3	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:1f478bf11bbe2182f1316611	COMP-XORG-PROV-002	XORG-PROV-002	gpkg/libxcomposite	libxcomposite-glibc	0.4.6	libXcomposite.so.1.0.0	1f478bf11bbe2182f1316611d0f0ef56596918d27ce69c3b034dcbd1baee4c2d	libXcomposite.so.1	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:6f50cad56bb44c7900e69269	COMP-XORG-PROV-003	XORG-PROV-003	gpkg/libxi	libxi-glibc	1.8.2	libXi.so.6.1.0	6f50cad56bb44c7900e692697bb5afcdd68c889be0c95eeda3775c8a2ac4de00	libXi.so.6	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
object:bff931629d90ef6858b43e6f	COMP-XORG-PROV-004	XORG-PROV-004	gpkg/libxinerama	libxinerama-glibc	1.1.5	libXinerama.so.1.0.0	bff931629d90ef6858b43e6fa3b593b7a646ae8febcc2576e906fc9c397d1e2a	libXinerama.so.1	CONTENT_ADDRESSED_COMPOSITION_LOCAL_CANONICAL_BINDING	TARGET_REVIEW_REFERENCE_ONLY_NO_NEW_PROVIDER_OR_SUPPLY_AUTHORITY
