evidence_row_id	capability_partition	identity_label	direct_family_roots	review_policy	authority_state
selected:a7e42baafca8ed4717e3	gtk-gui	libjpeg.so.62.3.0	libjpeg-turbo	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:ff6dae6f57afefe0d2b1	gtk-gui	libmount.so.1.1.0	libmount;util-linux	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:1ae5e5d5ff7893c87e25	gtk-gui	libpango-1.0.so.0.5600.3	pango	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:d73a4eb5d9d5ee688632	gtk-gui	libpangocairo-1.0.so.0.5600.3	pango	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:beb2bb532f0a84c2835f	gtk-gui	libpangoft2-1.0.so.0.5600.3	pango	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:84b77925eeb02b53f18e	gtk-gui	libpixman-1.so.0.44.0	pixman	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:4a768de6fd1891617456	gtk-gui	libpng16.so.16.48.0	libpng	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:7e82ba054b7d9f26f80e	gtk-gui	libselinux.so.1	libselinux	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:fec77ea4c45ec1a2990d	gtk-gui	libthai.so.0.3.1	libthai	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:325be465ce7f532f8ff1	gtk-gui	libXcomposite.so.1.0.0	libxcomposite	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:e57423d1cb58b1b78ba4	gtk-gui	libXcursor.so.1.0.2	libxcursor	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:b0a8934c10bddecfc8ae	gtk-gui	libXdamage.so.1.1.0	libxdamage	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:83bc985c49ec2d778e60	gtk-gui	libXfixes.so.3.1.0	libxfixes	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:b869b82b3c70ee88cb30	gtk-gui	libXi.so.6.1.0	libxi	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:26a520f7c61bdc61e17c	gtk-gui	libXinerama.so.1.0.0	libxinerama	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:0eab80f8c75b58f5c92a	gtk-gui	libxkbcommon.so.0.0.0	libxkbcommon	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:05c00883459557230afc	audio	libasound.so.2.0.0	alsa-lib	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:263d670b285ce1ec825f	other	libudev.so.1.7.10	libudev-zero;systemd	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:35b1c9007c3c83cca870	printing	libavahi-client.so.3.2.9	avahi	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:3dcc0e9505902abee7cd	printing	libavahi-common.so.3.5.4	avahi	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:abf1f2bcc689273af482	printing	libcups.so.2	cups	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:8415133f42365efb9394	printing	libgnutls.so.30.40.3	libgnutls;gnutls	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:6d981b8963608a8e0e6b	printing	libhogweed.so.6.10	libnettle;nettle	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:1db5922d01fc2d9e4533	printing	libnettle.so.8.10	libnettle;nettle	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:f81e2ae2dd9ff402c2fc	printing	libp11-kit.so.0.4.1	p11-kit	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:9c9dbf2702e796a10c69	printing	libtasn1.so.6.6.4	libtasn1	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:5112da4dd8080fe0687f	printing	libdbus-1.so.3.38.3	dbus	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:941f74c36395eb5983c4	printing	libsystemd.so.0.40.0	systemd;libsystemd	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
