binding_row_id	composition_row_id	provider_review_id	artifact_package	artifact_version	member_basename	member_sha256	soname	authority_source	supply_artifact_kind	supply_artifact_sha256	archive_member_path	retained_result_sha256	acquisition_verification_state	binding_state	blocker_ids	authority_effect	prohibited_inference
SUPPLY-BIND-1e393ebe0f897c64	COMP-FREETYPE-TRANSITIVE-ZLIB-001	FREETYPE-TRANSITIVE-ZLIB-001	zlib-glibc	1.3.1	libz.so.1.3.1	6835963ff1be924f73cdd59f29f2e2521d1705b3ce2d0e90a0c0fd4c5773a070	libz.so.1	experiments/glibc/selected-obsidian-provider-authority/review/freetype-transitive-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	9e9ea87059482894e4c6cef1101bf47be2fc47012d90fd26bc3c7621e2d33a31	/data/data/com.termux/files/usr/glibc/lib/libz.so.1.3.1	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-da0cb4ffb45d6743	COMP-FRIBIDI-PROV-001	FRIBIDI-PROV-001	fribidi-glibc	1.0.16	libfribidi.so.0.4.0	71668fd02e89fa7546446bb7961bb618f6d22e1506f7444bbea6788befbb7895	libfribidi.so.0	experiments/glibc/selected-obsidian-provider-authority/review/fribidi-bounded-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	9e99711a88e10441c0eee7af77c64b9ee1a6c93484b0e16ac381ed242057219f	data/data/com.termux/files/usr/glibc/lib/libfribidi.so.0.4.0	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-3f6d1cf895429335	COMP-GDKPIXBUF-PROV-001	GDKPIXBUF-PROV-001	project-gdk-pixbuf	2.42.12	libgdk_pixbuf-2.0.so.0.4200.12	0c1404c6854e7674428a5b653b240759dac0374631697fe61ae275898f6a809f	libgdk_pixbuf-2.0.so.0	experiments/glibc/selected-obsidian-provider-authority/review/gdkpixbuf-2-42-12-provider-candidate-result-review.tsv	RESULT_ARCHIVE_DIRECT_MEMBER	0c1404c6854e7674428a5b653b240759dac0374631697fe61ae275898f6a809f	libgdk_pixbuf-2.0.so.0.4200.12	1cebcf8784c6d2e8c8549eadd63007d9f99bb3e90e35ce0786a5d89f6cbecca0	DIGEST_BOUND_RETAINED_RESULT_REVIEW_INPUT	QUALIFIED_READ_ONLY_BINDING_INPUT	-	READ_ONLY_BINDING_INPUT_ONLY_NO_EXTRACTION_COPY_OR_POPULATION	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-7e327f98d7ac62f4	COMP-GDKPIXBUF-REF-PROV-GLIB-001-1	GDKPIXBUF-REF-PROV-GLIB-001	glib-glibc	2.82.2-2	libglib-2.0.so.0.8200.2	e0504b50e14870623e10490d76b78c7a8d0037a54fe354429e2e3b5ac07ae0d5	libglib-2.0.so.0	experiments/glibc/selected-obsidian-provider-authority/review/gdkpixbuf-reference-dependency-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	data/data/com.termux/files/usr/glibc/lib/libglib-2.0.so.0.8200.2	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-7c1a09dc1f9b0b4f	COMP-GDKPIXBUF-REF-PROV-GLIB-001-2	GDKPIXBUF-REF-PROV-GLIB-001	glib-glibc	2.82.2-2	libgobject-2.0.so.0.8200.2	de13928664709a9cecd61f50dcc4d2294d0c2ff91f147d0827d209cd03af45a6	libgobject-2.0.so.0	experiments/glibc/selected-obsidian-provider-authority/review/gdkpixbuf-reference-dependency-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	data/data/com.termux/files/usr/glibc/lib/libgobject-2.0.so.0.8200.2	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-a06788c952506fdb	COMP-GDKPIXBUF-REF-PROV-GLIB-001-3	GDKPIXBUF-REF-PROV-GLIB-001	glib-glibc	2.82.2-2	libgmodule-2.0.so.0.8200.2	feaad9c286e9a1af3cff94a78924f543bc0f4d7f8dfc05c9ec13eb1c3d8764bf	libgmodule-2.0.so.0	experiments/glibc/selected-obsidian-provider-authority/review/gdkpixbuf-reference-dependency-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	data/data/com.termux/files/usr/glibc/lib/libgmodule-2.0.so.0.8200.2	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-df53695d2fd772df	COMP-GDKPIXBUF-REF-PROV-GLIB-001-4	GDKPIXBUF-REF-PROV-GLIB-001	glib-glibc	2.82.2-2	libgio-2.0.so.0.8200.2	aa9fa8876fac7334570273064be05c3e65ba0f16d30a77a5929f48b12bfe64b3	libgio-2.0.so.0	experiments/glibc/selected-obsidian-provider-authority/review/gdkpixbuf-reference-dependency-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	data/data/com.termux/files/usr/glibc/lib/libgio-2.0.so.0.8200.2	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-17767e1194669277	COMP-GDKPIXBUF-REF-PROV-LIBPNG-001-1	GDKPIXBUF-REF-PROV-LIBPNG-001	libpng-glibc	1.6.47	libpng16.so.16.47.0	00c9fd06c139699552c086b60d116a01d067ceddddb29c56600bf9fd3bae746f	libpng16.so.16	experiments/glibc/selected-obsidian-provider-authority/review/gdkpixbuf-reference-dependency-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	b2835404d3b0f54b75eb464a58ad5eb46f2d64d4fe1167a7984031f0e990b33f	data/data/com.termux/files/usr/glibc/lib/libpng16.so.16.47.0	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-519b8291deef8182	COMP-GDKPIXBUF-UTIL-PROV-001-1	GDKPIXBUF-UTIL-PROV-001	libmount-glibc	2.40.2-1	libmount.so.1.1.0	6864b9050ddd5884642c98ea4df07e3ceaf78727324d6e9068d1866594ece1c2	libmount.so.1	experiments/glibc/selected-obsidian-provider-authority/review/gdkpixbuf-exact-util-linux-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	9004e88a9f43b2d5cf74fd8921e4b74146e3ced64c4f94490cc52d9b138b011a	data/data/com.termux/files/usr/glibc/lib/libmount.so.1.1.0	a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	DIGEST_BOUND_RETAINED_RESULT_REVIEW_INPUT	QUALIFIED_READ_ONLY_BINDING_INPUT	-	READ_ONLY_BINDING_INPUT_ONLY_NO_EXTRACTION_COPY_OR_POPULATION	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-d10b19403ddd9158	COMP-GDKPIXBUF-UTIL-PROV-001-2	GDKPIXBUF-UTIL-PROV-001	libblkid-glibc	2.40.2-1	libblkid.so.1.1.0	21d47963d42a5b1c4008c88a311c17142f57ee2f19cd30770f0befa364908fb3	libblkid.so.1	experiments/glibc/selected-obsidian-provider-authority/review/gdkpixbuf-exact-util-linux-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	b6692956495dfd59ce70a854db5af86bae5f63791440e2cc5f21c26194b965fe	data/data/com.termux/files/usr/glibc/lib/libblkid.so.1.1.0	a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	DIGEST_BOUND_RETAINED_RESULT_REVIEW_INPUT	QUALIFIED_READ_ONLY_BINDING_INPUT	-	READ_ONLY_BINDING_INPUT_ONLY_NO_EXTRACTION_COPY_OR_POPULATION	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-0c1676a7d8163bd1	COMP-GRAPHITE2-HARFBUZZ-PREQ-PROV-001	GRAPHITE2-HARFBUZZ-PREQ-PROV-001	libgraphite-glibc	1.3.14	libgraphite2.so.3.2.1	6caaa46abe585228b0fa45a60bdbb5e9951384148963856d1ce2e886e5b06e7f	libgraphite2.so.3	experiments/glibc/selected-obsidian-provider-authority/review/graphite2-harfbuzz-prerequisite-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	2144bb899adc6511df6ebf287b518d339c70b864dcfac3e3d31508187c87dfef	data/data/com.termux/files/usr/glibc/lib/libgraphite2.so.3.2.1	b0ae73019a2b442d96daa148219cfcf21f265b8dec48d82aef74dd95d536f29f	DIGEST_BOUND_RETAINED_RESULT_REVIEW_INPUT	QUALIFIED_READ_ONLY_BINDING_INPUT	-	READ_ONLY_BINDING_INPUT_ONLY_NO_EXTRACTION_COPY_OR_POPULATION	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-03cd69028df0dc67	COMP-GTK3-CORE-PROV-001-1	GTK3-CORE-PROV-001	gtk3-glibc	3.24.49	libgdk-3.so.0.2417.32	a237c3070ff1704f119cc318b6b837a9430a350648476123c1be75ba768d415d	libgdk-3.so.0	experiments/glibc/selected-obsidian-provider-authority/review/gtk3-core-bounded-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	89dd7d0427932d85b439e18aa05021aca623ed876854a875837be87de1b90262	lib/libgdk-3.so.0.2417.32	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	DIGEST_BOUND_RETAINED_RESULT_REVIEW_INPUT	QUALIFIED_READ_ONLY_BINDING_INPUT	-	READ_ONLY_BINDING_INPUT_ONLY_NO_EXTRACTION_COPY_OR_POPULATION	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-39241974f6fe40e9	COMP-GTK3-CORE-PROV-001-2	GTK3-CORE-PROV-001	gtk3-glibc	3.24.49	libgtk-3.so.0.2417.32	0404b91acdaa3a2558e3a11214918692f64d0ba3cebaae4722e3aa4a61f31bc6	libgtk-3.so.0	experiments/glibc/selected-obsidian-provider-authority/review/gtk3-core-bounded-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	89dd7d0427932d85b439e18aa05021aca623ed876854a875837be87de1b90262	lib/libgtk-3.so.0.2417.32	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	DIGEST_BOUND_RETAINED_RESULT_REVIEW_INPUT	QUALIFIED_READ_ONLY_BINDING_INPUT	-	READ_ONLY_BINDING_INPUT_ONLY_NO_EXTRACTION_COPY_OR_POPULATION	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-69cbf57a88f95002	COMP-HARFBUZZ-PROV-001	HARFBUZZ-PROV-001	harfbuzz-glibc	10.1.0	libharfbuzz.so.0.61010.0	179133d6e95f6e378f44ad9222255620ecdd39c30c5aedce028d99f2b28470c6	libharfbuzz.so.0	experiments/glibc/selected-obsidian-provider-authority/review/harfbuzz-bounded-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	d0e4a83180560341dc02fccd3b2df1892338a84c4cecfa4c7f6bc1c2566eacfc	data/data/com.termux/files/usr/glibc/lib/libharfbuzz.so.0.61010.0	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
SUPPLY-BIND-70d49a8b9117326c	COMP-LIBCLOUDPROVIDERS-PROV-001	LIBCLOUDPROVIDERS-PROV-001	libcloudproviders-glibc	0.3.6	libcloudproviders.so.0.3.6	54dea7e30b9e02f5626a374e5b62e5e975684a426a940f525a18eb4ce9e4f030	libcloudproviders.so.0	experiments/glibc/selected-obsidian-provider-authority/review/libcloudproviders-bounded-provider-authority.tsv	PACKAGE_ARCHIVE_MEMBER	62b4d4f5263a7750f56e4655fdf91011ec5dc2e137f4e73a08506ddbaa64c1ae	data/data/com.termux/files/usr/glibc/lib/libcloudproviders.so.0.3.6	-	OPEN_RETAINED_RESULT_COORDINATE_REQUIRED	BLOCKED_RESULT_COORDINATE_MISSING	SUPPLY-BYTE-BINDING-OPEN;RETAINED-RESULT-COORDINATE-OPEN	NO_SUPPLY_BINDING_AUTHORITY_EFFECT	RESULT_OR_ARTIFACT_IDENTITY_DOES_NOT_AUTHORIZE_DOWNLOAD_EXTRACTION_COPY_INSTALL_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
