artifact_id	repository_metadata_id	package	version	architecture	repository_filename	artifact_size	artifact_sha256	packages_index_sha256	artifact_class	comparison_scope_state	download_state	member_inventory_state	authority_state	target_population_state
generic-artifact:d553cf0a49e324e2595d	repository-metadata:01	libdatrie-glibc	0.2.13	aarch64	pool/stable/libd/libdatrie-glibc/libdatrie-glibc_0.2.13_aarch64.deb	112876	d553cf0a49e324e2595d17903d78aad8b28994a4f878c139f383e34a62592707	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:e53dc3b7f5419f13eb09	repository-metadata:01	libepoxy-glibc	1.5.10	aarch64	pool/stable/libe/libepoxy-glibc/libepoxy-glibc_1.5.10_aarch64.deb	300824	e53dc3b7f5419f13eb0948d2e16994061d2d593c1db2c535022c0d504af6a0e8	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:e072748f2ddba21f0193	repository-metadata:01	libgnutls-glibc	3.8.9	aarch64	pool/stable/libg/libgnutls-glibc/libgnutls-glibc_3.8.9_aarch64.deb	2261252	e072748f2ddba21f0193604132d578c406267931692c0291f1a87da1899980da	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:e672a721d7a949048cab	repository-metadata:01	libjpeg-turbo-glibc	3.1.0	aarch64	pool/stable/libj/libjpeg-turbo-glibc/libjpeg-turbo-glibc_3.1.0_aarch64.deb	432148	e672a721d7a949048cab5c7073ef0a0c05f627b8fc691ecc2d0adea6a5a5689e	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:9004e88a9f43b2d5cf74	repository-metadata:01	libmount-glibc	2.40.2-1	aarch64	pool/stable/libm/libmount-glibc/libmount-glibc_2.40.2-1_aarch64.deb	149644	9004e88a9f43b2d5cf74fd8921e4b74146e3ced64c4f94490cc52d9b138b011a	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:8583729139206b5b11da	repository-metadata:01	libnettle-glibc	3.10.1	aarch64	pool/stable/libn/libnettle-glibc/libnettle-glibc_3.10.1_aarch64.deb	874856	8583729139206b5b11da3b9e38934d90f5f632a8dd99b2f864dbdb6c37ad3e3f	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:b2835404d3b0f54b75eb	repository-metadata:01	libpng-glibc	1.6.47	aarch64	pool/stable/libp/libpng-glibc/libpng-glibc_1.6.47_aarch64.deb	244276	b2835404d3b0f54b75eb464a58ad5eb46f2d64d4fe1167a7984031f0e990b33f	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:d377605da9efe94727a1	repository-metadata:01	libsqlite-glibc	3.49.1	aarch64	pool/stable/libs/libsqlite-glibc/libsqlite-glibc_3.49.1_aarch64.deb	777412	d377605da9efe94727a1d77f0e3566a27e7206edfb31535a92152cf39fe7461f	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:51ed5e4d2e3fcd5ed966	repository-metadata:01	libtasn1-glibc	4.20.0	aarch64	pool/stable/libt/libtasn1-glibc/libtasn1-glibc_4.20.0_aarch64.deb	111576	51ed5e4d2e3fcd5ed96630635edf75ed6f50ecd4bafdcbed478bbd3822f6864b	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:5aa1d090525e71302abf	repository-metadata:01	libthai-glibc	0.1.29	aarch64	pool/stable/libt/libthai-glibc/libthai-glibc_0.1.29_aarch64.deb	251444	5aa1d090525e71302abf48532d522049c59f6aae76880b558558ea97b2c73cd8	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:6dc0ea80780ab017ce1e	repository-metadata:01	libxcomposite-glibc	0.4.6	aarch64	pool/stable/libx/libxcomposite-glibc/libxcomposite-glibc_0.4.6_aarch64.deb	10252	6dc0ea80780ab017ce1ec52c1c6d827a544f8d74746c1fc2165f67e2600f73bd	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:7901dd136016df9d694e	repository-metadata:01	libxcursor-glibc	1.2.3	aarch64	pool/stable/libx/libxcursor-glibc/libxcursor-glibc_1.2.3_aarch64.deb	31976	7901dd136016df9d694e38bb17923812f539241475e7ac97935c8dcdfcceb902	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:23fe7f6003d9607db6af	repository-metadata:01	libxfixes-glibc	6.0.1	aarch64	pool/stable/libx/libxfixes-glibc/libxfixes-glibc_6.0.1_aarch64.deb	12832	23fe7f6003d9607db6af5c31b995616270c319f2af11ddcd6292facd43b25b66	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:716705064cc53d3237a3	repository-metadata:01	libxi-glibc	1.8.2	aarch64	pool/stable/libx/libxi-glibc/libxi-glibc_1.8.2_aarch64.deb	147052	716705064cc53d3237a377fe4b0620550ed9600417fca5574634e76e2381c295	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:e849c9e0a6ea5f42d9cf	repository-metadata:01	libxinerama-glibc	1.1.5	aarch64	pool/stable/libx/libxinerama-glibc/libxinerama-glibc_1.1.5_aarch64.deb	8572	e849c9e0a6ea5f42d9cf3421aece4153cae17ed0c5d5df8ef7b9eee4d428db4d	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:e58eca6f9c0e0d068d80	repository-metadata:01	libxkbcommon-glibc	1.8.0	aarch64	pool/stable/libx/libxkbcommon-glibc/libxkbcommon-glibc_1.8.0_aarch64.deb	220120	e58eca6f9c0e0d068d80dabd3b289d6b1b4cdaa25fc91053d21392ecfbf54f97	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:fc88e9a3b2ca583b6398	repository-metadata:01	mesa-glibc	24.2.6	aarch64	pool/stable/m/mesa-glibc/mesa-glibc_24.2.6_aarch64.deb	21220120	fc88e9a3b2ca583b639834ff9b6005df28b97e70f70e57b689f68548a94163ec	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:f45523463ae7a6b19c5c	repository-metadata:01	mesa-vulkan-icd-freedreno-glibc	24.2.6	aarch64	pool/stable/m/mesa-vulkan-icd-freedreno-glibc/mesa-vulkan-icd-freedreno-glibc_24.2.6_aarch64.deb	1292156	f45523463ae7a6b19c5c4e77bf42eff38124dfe13cc97fce34fc2bf820f41c6a	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:5f4640c28a8217a9319a	repository-metadata:01	mesa-vulkan-icd-swrast-glibc	24.2.6	aarch64	pool/stable/m/mesa-vulkan-icd-swrast-glibc/mesa-vulkan-icd-swrast-glibc_24.2.6_aarch64.deb	1589732	5f4640c28a8217a9319a1b7959095832d289d5ab41759e79cebb4928a6ab2220	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:ca80686373a3bf340b2a	repository-metadata:01	nettle-glibc	3.10.1	aarch64	pool/stable/n/nettle-glibc/nettle-glibc_3.10.1_aarch64.deb	131164	ca80686373a3bf340b2af122a6c7da78e27b6e7f8bd34ee86f918bf50c39a87a	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:66a84ee486990761f3d2	repository-metadata:01	p11-kit-glibc	0.25.5	aarch64	pool/stable/p/p11-kit-glibc/p11-kit-glibc_0.25.5_aarch64.deb	3661008	66a84ee486990761f3d2125186027e009781d92171d50c0b88a74b391f56b960	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:7fdbef58f2a4fff712db	repository-metadata:01	pango-glibc	1.54.0	aarch64	pool/stable/p/pango-glibc/pango-glibc_1.54.0_aarch64.deb	269992	7fdbef58f2a4fff712db62b7fcd0cab0bde91373eb4d1d133e97e947b9f43084	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:cfa4595cd0bfd7dc6bb5	repository-metadata:01	sqlite-glibc	3.49.1	aarch64	pool/stable/s/sqlite-glibc/sqlite-glibc_3.49.1_aarch64.deb	1240552	cfa4595cd0bfd7dc6bb5cfea8c68c39e7a4e871279104d3566496493685f6a38	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:5686fa74699186c96706	repository-metadata:01	util-linux-glibc	2.40.2-1	aarch64	pool/stable/u/util-linux-glibc/util-linux-glibc_2.40.2-1_aarch64.deb	2553136	5686fa74699186c96706dec49896f8e603abefd2aac63192fd8fa7520e92c682	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
