object_review_id	evidence_row_id	review_tier	capability_partition	identity_label	artifact_id	artifact_package	artifact_version	artifact_sha256	recipe_root	recipe_tree	recipe_resolved_full_version	adaptation_evidence_tokens	object_member_review_state	build_attestation_requirement_set	adaptation_requirement_set	concrete_filename_requirement_set	object_correction_requirement_set	review_eligibility_state	authority_state	target_population_state	next_action
generic-object-review:51683b408de57af1b5c9	selected:33fe337448a19e2c6f2f	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libfontconfig.so.1.12.1	generic-artifact:c6bc4c9801ee7a45b506	fontconfig-glibc	2.15.0-1	c6bc4c9801ee7a45b506d3cc501f1c73a2fe6f1d4b5690eddede158f2b78aafb	gpkg/fontconfig	c5c62dc15d6a897251c88cb7c2306b2a12dd16ba	2.15.0-1	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;PACKAGE_REVISION;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	DRIFT_TARGET_ELF_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_ADAPTATION_AND_DRIFT_POLICY_EVIDENCE
generic-object-review:4fb85bf5b3875d51f2b8	selected:4a768de6fd1891617456	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libpng16.so.16.48.0	generic-artifact:b2835404d3b0f54b75eb	libpng-glibc	1.6.47	b2835404d3b0f54b75eb464a58ad5eb46f2d64d4fe1167a7984031f0e990b33f	gpkg/libpng	c28b21ff2f072e880bce82fe81e4022b88945c22	1.6.47	CUSTOM_TERMUX_STEP;TERMUX_PREFIX_REFERENCE	DRIFT_TARGET_ELF_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_ADAPTATION_AND_DRIFT_POLICY_EVIDENCE
generic-object-review:de033a9cfea119d21aa3	selected:5112da4dd8080fe0687f	T1_MATERIAL_DELTA_AND_DRIFT	printing	libdbus-1.so.3.38.3	generic-artifact:a1ee6a6519c54ebfcd61	dbus-glibc	1.15.6-2	a1ee6a6519c54ebfcd6157c89481265d5aafe2d7ddb25bd9df0d3308c3a9bda1	gpkg/dbus	d7c789ccea51cdb6d13196fd106f32daf6c75822	1.15.6-2	BUILD_IN_SRC;CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;PACKAGE_REVISION;PATCH_FILE;TERMUX_PREFIX_REFERENCE	DRIFT_TARGET_ELF_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_ADAPTATION_AND_DRIFT_POLICY_EVIDENCE
generic-object-review:2b5361cb8871759532b7	selected:553839925ebeb658612d	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libcairo.so.2.11804.4	generic-artifact:3250dba4dc3312b4fcaa	libcairo-glibc	1.18.2	3250dba4dc3312b4fcaa763c788614c63ba611ee82451224ba10da50622a0db2	gpkg/libcairo	b80a0990d43609e09f1480394225d2b068ce5881	1.18.2	EXTRA_CONFIGURE_ARGS;PATCH_FILE;TERMUX_PREFIX_REFERENCE	DRIFT_TARGET_ELF_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_ADAPTATION_AND_DRIFT_POLICY_EVIDENCE
generic-object-review:836f236bbab56b69bef1	selected:5909031aa9e67d50214b	T2_MATERIAL_DELTA_EXACT	gtk-gui	libdatrie.so.1.4.0	generic-artifact:d553cf0a49e324e2595d	libdatrie-glibc	0.2.13	d553cf0a49e324e2595d17903d78aad8b28994a4f878c139f383e34a62592707	gpkg/libdatrie	d773dbb3e0ad7eb29f323f75cb731e30eff66904	0.2.13	BUILD_IN_SRC;CUSTOM_TERMUX_STEP	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:5853922c25d94657bf0f	selected:5d210dfa49b6cf4c1077	T2_MATERIAL_DELTA_EXACT	gtk-gui	libfribidi.so.0.4.0	generic-artifact:9e99711a88e10441c0ee	fribidi-glibc	1.0.16	9e99711a88e10441c0eee7af77c64b9ee1a6c93484b0e16ac381ed242057219f	gpkg/fribidi	41ad596c81980f710112cd74d4f1b428cfbc6d6a	1.0.16	CUSTOM_TERMUX_STEP	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:0281572fbebd46151a77	selected:6052b6396205eed6dbb6	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libgio-2.0.so.0.8400.4	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	2.82.2-2	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	gpkg/glib	de335e6ba82f295978c17dcf3666a38bfd51538f	2.82.2-2	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;LAYOUT_OR_HOOK;PACKAGE_REVISION;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	DRIFT_TARGET_ELF_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_ADAPTATION_AND_DRIFT_POLICY_EVIDENCE
generic-object-review:4f7fe5692de493966070	selected:654806f659f7b97ba9d1	T2_MATERIAL_DELTA_EXACT	gtk-gui	libfreetype.so.6.20.2	generic-artifact:8e1d9d34f13c6c95aba5	freetype-glibc	2.13.3	8e1d9d34f13c6c95aba5e9a5f636facc94e0ca7c073f68cf605858a499a54e7b	gpkg/freetype	3a92f7895a8a4ef5cfe33fcc8b806acccffd0313	2.13.3	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:e833aa37b08d3afa5a5c	selected:6d981b8963608a8e0e6b	T4_CONFIGURATION_OR_PACKAGING_EXACT	printing	libhogweed.so.6.10	generic-artifact:8583729139206b5b11da	libnettle-glibc	3.10.1	8583729139206b5b11da3b9e38934d90f5f632a8dd99b2f864dbdb6c37ad3e3f	gpkg/libnettle	123402f8505f9f9af168f50f1d32f026f12be5f0	3.10.1	SUBPACKAGE_SCRIPT	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:f6ed3b97327067c5e9f9	selected:6e7f73b2a1ff4758f39a	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libgmodule-2.0.so.0.8400.4	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	2.82.2-2	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	gpkg/glib	de335e6ba82f295978c17dcf3666a38bfd51538f	2.82.2-2	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;LAYOUT_OR_HOOK;PACKAGE_REVISION;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	DRIFT_TARGET_ELF_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_ADAPTATION_AND_DRIFT_POLICY_EVIDENCE
generic-object-review:04b50f00464718fa02ec	selected:83bc985c49ec2d778e60	T6_NO_TOKEN_EXACT	gtk-gui	libXfixes.so.3.1.0	generic-artifact:23fe7f6003d9607db6af	libxfixes-glibc	6.0.1	23fe7f6003d9607db6af5c31b995616270c319f2af11ddcd6292facd43b25b66	gpkg/libxfixes	14916897595c88d8dc9c346884799171c22b4c15	6.0.1	NONE_DECLARED	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:ee4a5877692db0f8091b	selected:8415133f42365efb9394	T4_CONFIGURATION_OR_PACKAGING_EXACT	printing	libgnutls.so.30.40.3	generic-artifact:e072748f2ddba21f0193	libgnutls-glibc	3.8.9	e072748f2ddba21f0193604132d578c406267931692c0291f1a87da1899980da	gpkg/libgnutls	8851cd93d2e7c823b86e3940d7b61fd1965594e6	3.8.9	BUILD_IN_SRC;EXTRA_CONFIGURE_ARGS;SUBPACKAGE_SCRIPT	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:069310d28c63e1a63e78	selected:9c9dbf2702e796a10c69	T6_NO_TOKEN_EXACT	printing	libtasn1.so.6.6.4	generic-artifact:51ed5e4d2e3fcd5ed966	libtasn1-glibc	4.20.0	51ed5e4d2e3fcd5ed96630635edf75ed6f50ecd4bafdcbed478bbd3822f6864b	gpkg/libtasn1	3601f2ed3c9fd4d03c20c0d854d7b3aa05628482	4.20.0	NONE_DECLARED	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:cab2fdee3ac4e25f1141	selected:9e92e4a04c351aabb559	T1_MATERIAL_DELTA_AND_DRIFT	security	libsqlite3.so.0.8.6	generic-artifact:d377605da9efe94727a1	libsqlite-glibc	3.49.1	d377605da9efe94727a1d77f0e3566a27e7206edfb31535a92152cf39fe7461f	gpkg/libsqlite	f40cf35fe65fe08cdcc5dc69d36e19c5bbcca408	3.49.1	BUILD_IN_SRC;CUSTOM_TERMUX_STEP;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	DRIFT_TARGET_ELF_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_ADAPTATION_AND_DRIFT_POLICY_EVIDENCE
generic-object-review:d87c86abe4990b7ac346	selected:9f95a9cc7b1ea3e0cdc6	T2_MATERIAL_DELTA_EXACT	graphics	libgbm.so.1.0.0	generic-artifact:fc88e9a3b2ca583b6398	mesa-glibc	24.2.6	fc88e9a3b2ca583b639834ff9b6005df28b97e70f70e57b689f68548a94163ec	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	24.2.6	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;PACKAGE_REVISION;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:fc085dca914b298d1356	selected:a7e42baafca8ed4717e3	T0_OBJECT_REQUIREMENT_CORRECTION	gtk-gui	libjpeg.so.62.3.0	generic-artifact:e672a721d7a949048cab	libjpeg-turbo-glibc	3.1.0	e672a721d7a949048cab5c7073ef0a0c05f627b8fc691ecc2d0adea6a5a5689e	gpkg/libjpeg-turbo	cb58a7c1d7f4a1f89d036e4c80da596c0c61234c	3.1.0	EXTRA_CONFIGURE_ARGS;SUBPACKAGE_SCRIPT	EXPECTED_SONAME_ALIAS_ABSENT_CORRECT_CANDIDATE_REQUIRED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	OJ-001	BLOCKED_OBJECT_REQUIREMENT_UNSATISFIED	OPEN_NO_ACCEPTANCE	UNPOPULATED	CORRECT_OBJECT_REQUIREMENT_OR_LOCATE_MATCHING_EXPECTED_SONAME_CANDIDATE
generic-object-review:e43c9615521e6961f93a	selected:b869b82b3c70ee88cb30	T6_NO_TOKEN_EXACT	gtk-gui	libXi.so.6.1.0	generic-artifact:716705064cc53d3237a3	libxi-glibc	1.8.2	716705064cc53d3237a377fe4b0620550ed9600417fca5574634e76e2381c295	gpkg/libxi	9be86de0575a2ae7c8e904d6724d07bacd96d099	1.8.2	NONE_DECLARED	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:6cbec002686204181f6b	selected:b912b41387c558b52895	T4_CONFIGURATION_OR_PACKAGING_EXACT	gtk-gui	libcloudproviders.so.0.3.6	generic-artifact:62b4d4f5263a7750f56e	libcloudproviders-glibc	0.3.6	62b4d4f5263a7750f56e4655fdf91011ec5dc2e137f4e73a08506ddbaa64c1ae	gpkg/libcloudproviders	ca7597d86cb1610e64f209ff2b84c3ea13c4357a	0.3.6	EXTRA_CONFIGURE_ARGS	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:014a5a9607c33528a746	selected:beb2bb532f0a84c2835f	T5_NO_TOKEN_AND_DRIFT	gtk-gui	libpangoft2-1.0.so.0.5600.3	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	1.54.0	7fdbef58f2a4fff712db62b7fcd0cab0bde91373eb4d1d133e97e947b9f43084	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	1.54.0	NONE_DECLARED	DRIFT_TARGET_ELF_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	CF-001;CF-002;CF-003;CF-004	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_ADAPTATION_AND_DRIFT_POLICY_EVIDENCE
