root_review_id	review_tier	recipe_root	recipe_tree	recipe_resolved_full_version	artifact_ids	artifact_packages	artifact_count	identity_count	adaptation_evidence_tokens	build_attestation_requirement_set	adaptation_requirement_set	concrete_filename_requirement_set	object_correction_requirement_set	eligible_object_count	blocked_object_count	review_state	authority_state	next_action
generic-root-review:ad4e1b984c7087426ee9	T6_NO_TOKEN_EXACT	gpkg/libtasn1	3601f2ed3c9fd4d03c20c0d854d7b3aa05628482	4.20.0	generic-artifact:51ed5e4d2e3fcd5ed966	libtasn1-glibc	1	1	NONE_DECLARED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:88cec59d1ec77cd9f7bd	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/libthai	4943c66ff96eeddc0d6d05a57fb24418fb0cd7d2	0.1.29	generic-artifact:5aa1d090525e71302abf	libthai-glibc	1	1	BUILD_IN_SRC	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:871a690716276e3765a2	T6_NO_TOKEN_EXACT	gpkg/libxcomposite	5df15021d34e11560691926e2054272b5d3b6984	0.4.6	generic-artifact:6dc0ea80780ab017ce1e	libxcomposite-glibc	1	1	NONE_DECLARED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:54ab99c9280e70c43600	T2_MATERIAL_DELTA_EXACT	gpkg/libxcursor	bb2495e04b246f60203d48720225ef13fa8a25bf	1.2.3	generic-artifact:7901dd136016df9d694e	libxcursor-glibc	1	1	PATCH_FILE;TERMUX_PREFIX_REFERENCE	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:b2edb795edece4a59650	T6_NO_TOKEN_EXACT	gpkg/libxfixes	14916897595c88d8dc9c346884799171c22b4c15	6.0.1	generic-artifact:23fe7f6003d9607db6af	libxfixes-glibc	1	1	NONE_DECLARED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:5cde09ffb57ae90a949d	T6_NO_TOKEN_EXACT	gpkg/libxi	9be86de0575a2ae7c8e904d6724d07bacd96d099	1.8.2	generic-artifact:716705064cc53d3237a3	libxi-glibc	1	1	NONE_DECLARED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:8fba4c31866e5ce912d6	T6_NO_TOKEN_EXACT	gpkg/libxinerama	0ecad3a5840978f10eb6964f073d0ffb6a1a69c0	1.1.5	generic-artifact:e849c9e0a6ea5f42d9cf	libxinerama-glibc	1	1	NONE_DECLARED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:778b62f6da21fd02f1bb	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/libxkbcommon	5fda5da07e6b38230082785d352adc4e6fb9c4da	1.8.0	generic-artifact:e58eca6f9c0e0d068d80	libxkbcommon-glibc	1	1	CUSTOM_TERMUX_STEP	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:3d9be682f93850cf8f44	T2_MATERIAL_DELTA_EXACT	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	24.2.6	generic-artifact:f45523463ae7a6b19c5c;generic-artifact:fc88e9a3b2ca583b6398	mesa-glibc;mesa-vulkan-icd-freedreno-glibc	2	3	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;PACKAGE_REVISION;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	NONE	NONE	3	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:4a78f00ce210555e73bc	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/p11-kit	ad0661176a924458c36e3d6243aa83a52fe0fd55	0.25.5	generic-artifact:66a84ee486990761f3d2	p11-kit-glibc	1	1	EXTRA_CONFIGURE_ARGS;TERMUX_PREFIX_REFERENCE	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:0dacddae106c6bd1006b	T5_NO_TOKEN_AND_DRIFT	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	1.54.0	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	1	3	NONE_DECLARED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	CF-001;CF-002;CF-003;CF-004	NONE	3	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:6ea790cafac47e460e89	T2_MATERIAL_DELTA_EXACT	gpkg/util-linux	e91a0c476ef4355dbfff46e2bcab23d0085ddd01	2.40.2-1	generic-artifact:9004e88a9f43b2d5cf74	libmount-glibc	1	1	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;PACKAGE_REVISION;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
