sequence	contract_row_id	provider_object_id	member_basename	expected_soname	expected_member_size_bytes	expected_member_sha256	observed_sha256	artifact_package	artifact_version	source_result_sha256	source_drive_file_id	byte_carrier_kind	byte_carrier_coordinate	byte_carrier_artifact_sha256	byte_carrier_artifact_size	byte_carrier_repository_filename	source_container_locator	source_member_locator	elf64	aarch64	little_endian	shared_object	soname
11	LSM-CONTRACT-011	object:46ae61c88b9a2f32b13dfe81	libbrotlicommon.so.1.1.0	libbrotlicommon.so.1	202136	46ae61c88b9a2f32b13dfe81a3353a6aef2c83f3cbacf5270197878c47aab9be	46ae61c88b9a2f32b13dfe81a3353a6aef2c83f3cbacf5270197878c47aab9be	brotli-glibc	1.1.0	1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	1t8tH6GqfGFe2kOVE5_nwLiUhoUp5E1iy	exact-v150-artifact-cache	/data/data/com.termux/files/home/.cache/hw-t-work/v150-20260731T155913Z/exact-artifact-carriers/archives/402c5b919f670e9d12438071c3daf02c6ed9d561f4dac2e7acd1b5939ec621ed.deb	402c5b919f670e9d12438071c3daf02c6ed9d561f4dac2e7acd1b5939ec621ed	343044	pool/stable/b/brotli-glibc/brotli-glibc_1.1.0_aarch64.deb	profiles/freetype-legacy-result-file-index.tsv	data/data/com.termux/files/usr/glibc/lib/libbrotlicommon.so.1.1.0	YES	YES	YES	YES	YES
12	LSM-CONTRACT-012	object:8faac8e6d945bf1d5f113d98	libbrotlidec.so.1.1.0	libbrotlidec.so.1	73192	8faac8e6d945bf1d5f113d986502bf28883fa0cf7a0feb529840124d2b804a87	8faac8e6d945bf1d5f113d986502bf28883fa0cf7a0feb529840124d2b804a87	brotli-glibc	1.1.0	1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	1t8tH6GqfGFe2kOVE5_nwLiUhoUp5E1iy	exact-artifact-cache-reuse	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-artifact-carriers/archives/402c5b919f670e9d12438071c3daf02c6ed9d561f4dac2e7acd1b5939ec621ed.deb	402c5b919f670e9d12438071c3daf02c6ed9d561f4dac2e7acd1b5939ec621ed	343044	pool/stable/b/brotli-glibc/brotli-glibc_1.1.0_aarch64.deb	profiles/freetype-legacy-result-file-index.tsv	data/data/com.termux/files/usr/glibc/lib/libbrotlidec.so.1.1.0	YES	YES	YES	YES	YES
13	LSM-CONTRACT-013	object:93de8c4bb245b253dfc35734	libbz2.so.1.0.8	libbz2.so.1.0	76312	93de8c4bb245b253dfc357349a9b81e5ed6fb01ac1c9513e0c36fbf5c5a84167	93de8c4bb245b253dfc357349a9b81e5ed6fb01ac1c9513e0c36fbf5c5a84167	libbz2-glibc	1.0.8-3	1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	1t8tH6GqfGFe2kOVE5_nwLiUhoUp5E1iy	exact-v150-artifact-cache	/data/data/com.termux/files/home/.cache/hw-t-work/v150-20260731T155913Z/exact-artifact-carriers/archives/984f6f80b4cd115d8adf99aee79f3cbbc5c073bc1fc708e8decd0a13323df4f0.deb	984f6f80b4cd115d8adf99aee79f3cbbc5c073bc1fc708e8decd0a13323df4f0	32892	pool/stable/libb/libbz2-glibc/libbz2-glibc_1.0.8-3_aarch64.deb	profiles/freetype-legacy-result-file-index.tsv	data/data/com.termux/files/usr/glibc/lib/libbz2.so.1.0.8	YES	YES	YES	YES	YES
14	LSM-CONTRACT-014	object:2440680a9d0c94d58d87d591	libcairo-gobject.so.2.11802.2	libcairo-gobject.so.2	67312	2440680a9d0c94d58d87d5916d168535b7dc4263648df9aa0b787ef2f7d3a166	2440680a9d0c94d58d87d5916d168535b7dc4263648df9aa0b787ef2f7d3a166	libcairo-glibc	1.18.2	3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	1-slSGw5H4_Qn-lL9z8aBeqOBlybW7vBB	historical-result-direct-member	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a/evidence/cairo-gobject/libcairo-gobject.so.2.11802.2	-	67312	-	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libcairo-gobject.so.2.11802.2	YES	YES	YES	YES	YES
15	LSM-CONTRACT-015	object:43cd64f07e1c33e5bd574fe7	libcairo.so.2.11802.2	libcairo.so.2	1382952	43cd64f07e1c33e5bd574fe7f50a20062a2ab6836adf80e1b5f4b6846e05264d	43cd64f07e1c33e5bd574fe7f50a20062a2ab6836adf80e1b5f4b6846e05264d	libcairo-glibc	1.18.2	3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	1-slSGw5H4_Qn-lL9z8aBeqOBlybW7vBB	historical-result-direct-member	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a/evidence/cairo/libcairo.so.2.11802.2	-	1382952	-	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libcairo.so.2.11802.2	YES	YES	YES	YES	YES
16	LSM-CONTRACT-016	object:54dea7e30b9e02f5626a374e	libcloudproviders.so.0.3.6	libcloudproviders.so.0	133104	54dea7e30b9e02f5626a374e5b62e5e975684a426a940f525a18eb4ce9e4f030	54dea7e30b9e02f5626a374e5b62e5e975684a426a940f525a18eb4ce9e4f030	libcloudproviders-glibc	0.3.6	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-gtk-active-dependency-packages/libcloudproviders-glibc_0.3.6_aarch64.deb	62b4d4f5263a7750f56e4655fdf91011ec5dc2e137f4e73a08506ddbaa64c1ae	39412	libcloudproviders-glibc_0.3.6_aarch64.deb	candidate/private-gtk-active-dependency-packages/libcloudproviders-glibc_0.3.6_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libcloudproviders.so.0.3.6	YES	YES	YES	YES	YES
17	LSM-CONTRACT-017	object:8052746b4003c367e811dc26	libdatrie.so.1.4.0	libdatrie.so.1	76248	8052746b4003c367e811dc26686373455f687e11bf95cbbe8772a2069b86e7dd	8052746b4003c367e811dc26686373455f687e11bf95cbbe8772a2069b86e7dd	libdatrie-glibc	0.2.13	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-pango-dependency-packages/libdatrie-glibc_0.2.13_aarch64.deb	d553cf0a49e324e2595d17903d78aad8b28994a4f878c139f383e34a62592707	112876	libdatrie-glibc_0.2.13_aarch64.deb	candidate/private-pango-dependency-packages/libdatrie-glibc_0.2.13_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libdatrie.so.1.4.0	YES	YES	YES	YES	YES
18	LSM-CONTRACT-018	object:403f566468fb5212173407d0	libepoxy.so.0.0.0	libepoxy.so.0	1406520	403f566468fb5212173407d041a660af0ff459841e9b0ca2274e9c28ac98c723	403f566468fb5212173407d041a660af0ff459841e9b0ca2274e9c28ac98c723	libepoxy-glibc	1.5.10	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-epoxy-dependency-packages/libepoxy-glibc_1.5.10_aarch64.deb	e53dc3b7f5419f13eb0948d2e16994061d2d593c1db2c535022c0d504af6a0e8	300824	libepoxy-glibc_1.5.10_aarch64.deb	candidate/private-epoxy-dependency-packages/libepoxy-glibc_1.5.10_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libepoxy.so.0.0.0	YES	YES	YES	YES	YES
19	LSM-CONTRACT-019	object:33769b91e5bc82e4453766c9	libfontconfig.so.1.14.0	libfontconfig.so.1	329624	33769b91e5bc82e4453766c957733fecc45cf6d0c696fe52c3cdb4084daa591e	33769b91e5bc82e4453766c957733fecc45cf6d0c696fe52c3cdb4084daa591e	fontconfig-glibc	2.15.0-1	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-gtk-dependency-packages/fontconfig-glibc_2.15.0-1_aarch64.deb	c6bc4c9801ee7a45b506d3cc501f1c73a2fe6f1d4b5690eddede158f2b78aafb	278740	fontconfig-glibc_2.15.0-1_aarch64.deb	candidate/private-gtk-dependency-packages/fontconfig-glibc_2.15.0-1_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libfontconfig.so.1.14.0	YES	YES	YES	YES	YES
20	LSM-CONTRACT-020	object:04723b724b36bd516936461d	libfreetype.so.6.20.2	libfreetype.so.6	788368	04723b724b36bd516936461db4ee32a692f15af7abb99cd52cd287afa36118cf	04723b724b36bd516936461db4ee32a692f15af7abb99cd52cd287afa36118cf	freetype-glibc	2.13.3	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-gtk-dependency-packages/freetype-glibc_2.13.3_aarch64.deb	8e1d9d34f13c6c95aba5e9a5f636facc94e0ca7c073f68cf605858a499a54e7b	447360	freetype-glibc_2.13.3_aarch64.deb	candidate/private-gtk-dependency-packages/freetype-glibc_2.13.3_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libfreetype.so.6.20.2	YES	YES	YES	YES	YES
21	LSM-CONTRACT-021	object:71668fd02e89fa7546446bb7	libfribidi.so.0.4.0	libfribidi.so.0	133080	71668fd02e89fa7546446bb7961bb618f6d22e1506f7444bbea6788befbb7895	71668fd02e89fa7546446bb7961bb618f6d22e1506f7444bbea6788befbb7895	fribidi-glibc	1.0.16	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-pango-dependency-packages/fribidi-glibc_1.0.16_aarch64.deb	9e99711a88e10441c0eee7af77c64b9ee1a6c93484b0e16ac381ed242057219f	68532	fribidi-glibc_1.0.16_aarch64.deb	candidate/private-pango-dependency-packages/fribidi-glibc_1.0.16_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libfribidi.so.0.4.0	YES	YES	YES	YES	YES
22	LSM-CONTRACT-022	object:a237c3070ff1704f119cc318	libgdk-3.so.0.2417.32	libgdk-3.so.0	1367912	a237c3070ff1704f119cc318b6b837a9430a350648476123c1be75ba768d415d	a237c3070ff1704f119cc318b6b837a9430a350648476123c1be75ba768d415d	gtk3-glibc	3.24.49	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/gtk3-glibc_3.24.49_aarch64.deb	89dd7d0427932d85b439e18aa05021aca623ed876854a875837be87de1b90262	5209576	gtk3-glibc_3.24.49_aarch64.deb	EXISTING_AUTHORITY_RECORD	lib/libgdk-3.so.0.2417.32	YES	YES	YES	YES	YES
23	LSM-CONTRACT-023	object:0c1404c6854e7674428a5b65	libgdk_pixbuf-2.0.so.0.4200.12	libgdk_pixbuf-2.0.so.0	758824	0c1404c6854e7674428a5b653b240759dac0374631697fe61ae275898f6a809f	0c1404c6854e7674428a5b653b240759dac0374631697fe61ae275898f6a809f	project-gdk-pixbuf	2.42.12	1cebcf8784c6d2e8c8549eadd63007d9f99bb3e90e35ce0786a5d89f6cbecca0	1r34Bp8sWQfut9Ypj_mj4mi_DQFWjn775	historical-result-direct-member	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/1cebcf8784c6d2e8c8549eadd63007d9f99bb3e90e35ce0786a5d89f6cbecca0/termux-native-desktop-gdkpixbuf-2-42-12-provider-candidate-20260716T091135Z/candidate/libgdk_pixbuf-2.0.so.0.4200.12	-	758824	-	EXISTING_AUTHORITY_RECORD	libgdk_pixbuf-2.0.so.0.4200.12	YES	YES	YES	YES	YES
24	LSM-CONTRACT-024	object:aa9fa8876fac733457027306	libgio-2.0.so.0.8200.2	libgio-2.0.so.0	2493872	aa9fa8876fac7334570273064be05c3e65ba0f16d30a77a5929f48b12bfe64b3	aa9fa8876fac7334570273064be05c3e65ba0f16d30a77a5929f48b12bfe64b3	glib-glibc	2.82.2-2	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-dependency-packages/glib-glibc_2.82.2-2_aarch64.deb	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	9097100	glib-glibc_2.82.2-2_aarch64.deb	candidate/private-dependency-packages/glib-glibc_2.82.2-2_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libgio-2.0.so.0.8200.2	YES	YES	YES	YES	YES
25	LSM-CONTRACT-025	object:e0504b50e14870623e10490d	libglib-2.0.so.0.8200.2	libglib-2.0.so.0	1576528	e0504b50e14870623e10490d76b78c7a8d0037a54fe354429e2e3b5ac07ae0d5	e0504b50e14870623e10490d76b78c7a8d0037a54fe354429e2e3b5ac07ae0d5	glib-glibc	2.82.2-2	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-dependency-packages/glib-glibc_2.82.2-2_aarch64.deb	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	9097100	glib-glibc_2.82.2-2_aarch64.deb	candidate/private-dependency-packages/glib-glibc_2.82.2-2_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libglib-2.0.so.0.8200.2	YES	YES	YES	YES	YES
26	LSM-CONTRACT-026	object:feaad9c286e9a1af3cff94a7	libgmodule-2.0.so.0.8200.2	libgmodule-2.0.so.0	67472	feaad9c286e9a1af3cff94a78924f543bc0f4d7f8dfc05c9ec13eb1c3d8764bf	feaad9c286e9a1af3cff94a78924f543bc0f4d7f8dfc05c9ec13eb1c3d8764bf	glib-glibc	2.82.2-2	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-dependency-packages/glib-glibc_2.82.2-2_aarch64.deb	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	9097100	glib-glibc_2.82.2-2_aarch64.deb	candidate/private-dependency-packages/glib-glibc_2.82.2-2_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libgmodule-2.0.so.0.8200.2	YES	YES	YES	YES	YES
