object_review_id	evidence_row_id	review_tier	capability_partition	identity_label	artifact_id	artifact_package	artifact_version	artifact_sha256	recipe_root	recipe_tree	member_path	member_sha256	observed_soname	alias_member_path	alias_link_target	object_class	closure_lane_ids	root_requirement_set	object_requirement_set	direct_gap_requirement_set	local_foundation_completion_set	prerequisite_requirement_set	completion_gate	work_state	final_provider_state	authority_state	target_population_state
generic-object-review:5207928d6f9460b95d6d	selected:038ff19f8fcdc358c1af	T2_MATERIAL_DELTA_EXACT	graphics	libVkLayer_MESA_device_select.so	generic-artifact:fc88e9a3b2ca583b6398	mesa-glibc	24.2.6	fc88e9a3b2ca583b639834ff9b6005df28b97e70f70e57b689f68548a94163ec	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	data/data/com.termux/files/usr/glibc/lib/libVkLayer_MESA_device_select.so	e8a46300a502cc16c47f18022813f7d055fe8ce2fee7de80c22fcbc112d6817a	libVkLayer_MESA_device_select.so	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:562c6344503ccb5d7666	selected:05c00883459557230afc	T4_CONFIGURATION_OR_PACKAGING_EXACT	audio	libasound.so.2.0.0	generic-artifact:5e9c487411c76170da4f	alsa-lib-glibc	1.2.13	5e9c487411c76170da4fd67253625398d4de00462a477d00cea73e287a8ed23d	gpkg/alsa-lib	56309a1362140190ab6b3cadd4725447d8a9eb59	data/data/com.termux/files/usr/glibc/lib/libasound.so.2.0.0	cf7f12113479ef4f59f1780c3645041730b8882acfcc1f46953c97388f81ebc6	libasound.so.2	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:5853922c25d94657bf0f	selected:5d210dfa49b6cf4c1077	T2_MATERIAL_DELTA_EXACT	gtk-gui	libfribidi.so.0.4.0	generic-artifact:9e99711a88e10441c0ee	fribidi-glibc	1.0.16	9e99711a88e10441c0eee7af77c64b9ee1a6c93484b0e16ac381ed242057219f	gpkg/fribidi	41ad596c81980f710112cd74d4f1b428cfbc6d6a	data/data/com.termux/files/usr/glibc/lib/libfribidi.so.0.4.0	71668fd02e89fa7546446bb7961bb618f6d22e1506f7444bbea6788befbb7895	libfribidi.so.0	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:6cbec002686204181f6b	selected:b912b41387c558b52895	T4_CONFIGURATION_OR_PACKAGING_EXACT	gtk-gui	libcloudproviders.so.0.3.6	generic-artifact:62b4d4f5263a7750f56e	libcloudproviders-glibc	0.3.6	62b4d4f5263a7750f56e4655fdf91011ec5dc2e137f4e73a08506ddbaa64c1ae	gpkg/libcloudproviders	ca7597d86cb1610e64f209ff2b84c3ea13c4357a	data/data/com.termux/files/usr/glibc/lib/libcloudproviders.so.0.3.6	54dea7e30b9e02f5626a374e5b62e5e975684a426a940f525a18eb4ce9e4f030	libcloudproviders.so.0	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:708105f7f5955823c305	selected:26a520f7c61bdc61e17c	T6_NO_TOKEN_EXACT	gtk-gui	libXinerama.so.1.0.0	generic-artifact:e849c9e0a6ea5f42d9cf	libxinerama-glibc	1.1.5	e849c9e0a6ea5f42d9cf3421aece4153cae17ed0c5d5df8ef7b9eee4d428db4d	gpkg/libxinerama	0ecad3a5840978f10eb6964f073d0ffb6a1a69c0	data/data/com.termux/files/usr/glibc/lib/libXinerama.so.1.0.0	bff931629d90ef6858b43e6fa3b593b7a646ae8febcc2576e906fc9c397d1e2a	libXinerama.so.1	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-002;AD-003;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;BA-001;BA-002;BA-004;BA-005	AD-002;AD-004;AD-006;BA-003	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:73f453d78aa059fd9048	selected:1ae5e5d5ff7893c87e25	T5_NO_TOKEN_AND_DRIFT	gtk-gui	libpango-1.0.so.0.5600.3	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	1.54.0	7fdbef58f2a4fff712db62b7fcd0cab0bde91373eb4d1d133e97e947b9f43084	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	data/data/com.termux/files/usr/glibc/lib/libpango-1.0.so.0.5400.0	7debdcbc3dec18f7377e53a07a4d14159cde68b4cc07f0ed1c087f9d56268336	libpango-1.0.so.0	data/data/com.termux/files/usr/glibc/lib/libpango-1.0.so.0	libpango-1.0.so.0.5400.0	ALIAS_TARGET_DRIFT	GC-02;GC-03;GC-04;GC-05;GC-06	AD-002;AD-003;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-002;AD-004;AD-006;BA-003;CF-002	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_CONSUMER_BINDING_AND_FILENAME_CONTINUITY_POLICY	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:7918fdccfdd1e2e68d05	selected:ff6dae6f57afefe0d2b1	T2_MATERIAL_DELTA_EXACT	gtk-gui	libmount.so.1.1.0	generic-artifact:9004e88a9f43b2d5cf74	libmount-glibc	2.40.2-1	9004e88a9f43b2d5cf74fd8921e4b74146e3ced64c4f94490cc52d9b138b011a	gpkg/util-linux	e91a0c476ef4355dbfff46e2bcab23d0085ddd01	data/data/com.termux/files/usr/glibc/lib/libmount.so.1.1.0	6864b9050ddd5884642c98ea4df07e3ceaf78727324d6e9068d1866594ece1c2	libmount.so.1	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:7ce853ca3ee3ee667757	selected:e57423d1cb58b1b78ba4	T2_MATERIAL_DELTA_EXACT	gtk-gui	libXcursor.so.1.0.2	generic-artifact:7901dd136016df9d694e	libxcursor-glibc	1.2.3	7901dd136016df9d694e38bb17923812f539241475e7ac97935c8dcdfcceb902	gpkg/libxcursor	bb2495e04b246f60203d48720225ef13fa8a25bf	data/data/com.termux/files/usr/glibc/lib/libXcursor.so.1.0.2	86e70b94186edb4c16cf00f2bcea4a03ea09bb486ee6a079dd11d3ef6fffe722	libXcursor.so.1	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:8238648a384d05a4a97b	selected:d8dfbc099c8bd2072e3f	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libglib-2.0.so.0.8400.4	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	2.82.2-2	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	gpkg/glib	de335e6ba82f295978c17dcf3666a38bfd51538f	data/data/com.termux/files/usr/glibc/lib/libglib-2.0.so.0.8200.2	e0504b50e14870623e10490d76b78c7a8d0037a54fe354429e2e3b5ac07ae0d5	libglib-2.0.so.0	data/data/com.termux/files/usr/glibc/lib/libglib-2.0.so.0	libglib-2.0.so.0.8200.2	ALIAS_TARGET_DRIFT	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_CONSUMER_BINDING_AND_FILENAME_CONTINUITY_POLICY	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:836f236bbab56b69bef1	selected:5909031aa9e67d50214b	T2_MATERIAL_DELTA_EXACT	gtk-gui	libdatrie.so.1.4.0	generic-artifact:d553cf0a49e324e2595d	libdatrie-glibc	0.2.13	d553cf0a49e324e2595d17903d78aad8b28994a4f878c139f383e34a62592707	gpkg/libdatrie	d773dbb3e0ad7eb29f323f75cb731e30eff66904	data/data/com.termux/files/usr/glibc/lib/libdatrie.so.1.4.0	8052746b4003c367e811dc26686373455f687e11bf95cbbe8772a2069b86e7dd	libdatrie.so.1	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:83a504ea8dc0403c946b	selected:e8ccf42491e69aba6284	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libcairo-gobject.so.2.11804.4	generic-artifact:3250dba4dc3312b4fcaa	libcairo-glibc	1.18.2	3250dba4dc3312b4fcaa763c788614c63ba611ee82451224ba10da50622a0db2	gpkg/libcairo	b80a0990d43609e09f1480394225d2b068ce5881	data/data/com.termux/files/usr/glibc/lib/libcairo-gobject.so.2.11802.2	2440680a9d0c94d58d87d5916d168535b7dc4263648df9aa0b787ef2f7d3a166	libcairo-gobject.so.2	data/data/com.termux/files/usr/glibc/lib/libcairo-gobject.so.2	libcairo-gobject.so.2.11802.2	ALIAS_TARGET_DRIFT	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_CONSUMER_BINDING_AND_FILENAME_CONTINUITY_POLICY	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
