acquisition_unit_id	root_review_id	recipe_root	recipe_tree	locator_receipt_state	build_invocation_state	build_environment_state	build_output_linkage_state	receipt_review_decision	build_attestation_state	final_provider_state	target_population_state	next_action
generic-root-acquisition:2d23dd5f542ca538572c	generic-root-review:5cde09ffb57ae90a949d	gpkg/libxi	9be86de0575a2ae7c8e904d6724d07bacd96d099	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:ac24af0774f261b6fdff	generic-root-review:68be7e5a4186aff4fd0d	gpkg/libsqlite	f40cf35fe65fe08cdcc5dc69d36e19c5bbcca408	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:9173ebe7e08b9e727bfd	generic-root-review:6ea790cafac47e460e89	gpkg/util-linux	e91a0c476ef4355dbfff46e2bcab23d0085ddd01	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:8bd11862856797d4a2f2	generic-root-review:706bd01fdd0555fcabc9	gpkg/harfbuzz	f353d5f116250f7bcab7ecf062cdb13728b0ecc8	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:e5b7a62193ee6d6d5d7c	generic-root-review:778b62f6da21fd02f1bb	gpkg/libxkbcommon	5fda5da07e6b38230082785d352adc4e6fb9c4da	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:74aea67c23ea5008c220	generic-root-review:7ddd185f55bd2a91009e	gpkg/libdatrie	d773dbb3e0ad7eb29f323f75cb731e30eff66904	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:8172d3ac8182d0c4e67c	generic-root-review:871a690716276e3765a2	gpkg/libxcomposite	5df15021d34e11560691926e2054272b5d3b6984	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:887f44dcdc8669a3adf4	generic-root-review:88cec59d1ec77cd9f7bd	gpkg/libthai	4943c66ff96eeddc0d6d05a57fb24418fb0cd7d2	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:965ee490289dd71c3fb5	generic-root-review:89ca3d57915910fa5a81	gpkg/alsa-lib	56309a1362140190ab6b3cadd4725447d8a9eb59	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:0b043098898adfd10a44	generic-root-review:8fba4c31866e5ce912d6	gpkg/libxinerama	0ecad3a5840978f10eb6964f073d0ffb6a1a69c0	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:66e8e3695d3c7385c29e	generic-root-review:9147ecc3cb3d2ae95b32	gpkg/libgnutls	8851cd93d2e7c823b86e3940d7b61fd1965594e6	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:3fa37ef26a0bc35ca9c6	generic-root-review:ad4e1b984c7087426ee9	gpkg/libtasn1	3601f2ed3c9fd4d03c20c0d854d7b3aa05628482	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:d8ed470348d0fe88e56f	generic-root-review:af39bbec812180537c5a	gpkg/freetype	3a92f7895a8a4ef5cfe33fcc8b806acccffd0313	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:b6f13a1ebabbe306db5d	generic-root-review:b2edb795edece4a59650	gpkg/libxfixes	14916897595c88d8dc9c346884799171c22b4c15	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:7ac1e0a6119603dd7cf9	generic-root-review:c38f6cb7aef89fe33a48	gpkg/fribidi	41ad596c81980f710112cd74d4f1b428cfbc6d6a	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:906d64080c6983fcd90d	generic-root-review:c59af7056fbbff435bc8	gpkg/glib	de335e6ba82f295978c17dcf3666a38bfd51538f	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:b4f1231eb71099760bc8	generic-root-review:d5acfe552821242c8bec	gpkg/libcloudproviders	ca7597d86cb1610e64f209ff2b84c3ea13c4357a	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:97a67e0dc2068fdfe5bc	generic-root-review:f358ae77e439240484e8	gpkg/libnettle	123402f8505f9f9af168f50f1d32f026f12be5f0	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
