coverage_kind	source_id	sequence	implementation_symbol	enforcement_layer	isolated_case	current_state	authority_effect
INPUT	LSLA-IN-011	11	production_input_repository_baseline	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-012	12	production_input_remote_baseline	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-013	13	production_input_executor_identity	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-014	14	production_input_trusted_time	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-015	15	production_input_replay_registry	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-016	16	production_input_protected_state_boundary	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-017	17	production_input_orchestration_entrypoint	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-018	18	production_input_resource_limits	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-019	19	production_input_evidence_output_root	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-020	20	production_input_operator_invocation	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-001	1	production_state_init	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-002	2	production_state_package_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-003	3	production_state_source_authorities_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-004	4	production_state_owner_decision_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-005	5	production_state_owner_token_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-006	6	production_state_coordinate_receipt_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-007	7	production_state_revocation_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-008	8	production_state_execution_authorization_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-009	9	production_state_repository_baseline_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-010	10	production_state_remote_baseline_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-011	11	production_state_executor_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-012	12	production_state_trusted_time_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-013	13	production_state_replay_registry_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-014	14	production_state_replay_prechecked	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-015	15	production_state_protected_before_captured	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-016	16	production_state_output_root_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-017	17	production_state_resource_limits_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-018	18	production_state_orchestration_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-019	19	production_state_provider_open_gate_armed	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-020	20	production_state_orchestration_running	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-021	21	production_state_evidence_receipt_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-022	22	production_state_replay_tuple_appended	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-023	23	production_state_protected_after_captured	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-024	24	production_state_invariance_verified	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-025	25	production_state_result_indexed	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
STATE	LSLA-ST-026	26	production_state_finalized	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-001	1	production_operation_package	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-002	2	production_operation_package	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-003	3	production_operation_sources	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-004	4	production_operation_sources	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-005	5	production_operation_sources	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-006	6	production_operation_sources	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-007	7	production_operation_owner	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-008	8	production_operation_owner	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-009	9	production_operation_token	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-010	10	production_operation_token	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-011	11	production_operation_coordinates	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-012	12	production_operation_coordinates	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-013	13	production_operation_revocation	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-014	14	production_operation_revocation	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-015	15	production_operation_execution_auth	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-016	16	production_operation_execution_auth	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-017	17	production_operation_baseline	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-018	18	production_operation_baseline	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-019	19	production_operation_remote	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
OPERATION	LSLA-OP-020	20	production_operation_remote	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
