sequence	contract_row_id	materializer_plan_row_id	provider_object_id	local_regular_file_path	observed_member_sha256	st_size	observed_soname	elf_class	elf_data	elf_machine	elf_type	result_remote	result_sha256	result_index_contract_kind	result_index_identity	container_class	container_locator	member_locator	validation_state	st_uid	st_mode	st_dev	st_ino	st_mtime_ns	st_ctime_ns
11	LSM-CONTRACT-011	MAT-OBJ-011	object:46ae61c88b9a2f32b13dfe81	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/11-46ae61c88b9a2f32/libbrotlicommon.so.1.1.0	46ae61c88b9a2f32b13dfe81a3353a6aef2c83f3cbacf5270197878c47aab9be	202136	libbrotlicommon.so.1	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z-results.tar.zst	1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	APPEND_ONLY_INDEX_RECEIPT_SHA256	eed95221332a7dd309788b72e651ccb7c40ca91ffe6f7f3ea231433804b787f7	APPEND_ONLY_RESULT_FILE_INDEX_MEMBER	profiles/freetype-legacy-result-file-index.tsv	data/data/com.termux/files/usr/glibc/lib/libbrotlicommon.so.1.1.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583353	1785514900644547877	1785514900644547877
12	LSM-CONTRACT-012	MAT-OBJ-012	object:8faac8e6d945bf1d5f113d98	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/12-8faac8e6d945bf1d/libbrotlidec.so.1.1.0	8faac8e6d945bf1d5f113d986502bf28883fa0cf7a0feb529840124d2b804a87	73192	libbrotlidec.so.1	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z-results.tar.zst	1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	APPEND_ONLY_INDEX_RECEIPT_SHA256	eed95221332a7dd309788b72e651ccb7c40ca91ffe6f7f3ea231433804b787f7	APPEND_ONLY_RESULT_FILE_INDEX_MEMBER	profiles/freetype-legacy-result-file-index.tsv	data/data/com.termux/files/usr/glibc/lib/libbrotlidec.so.1.1.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583355	1785514900744547877	1785514900744547877
13	LSM-CONTRACT-013	MAT-OBJ-013	object:93de8c4bb245b253dfc35734	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/13-93de8c4bb245b253/libbz2.so.1.0.8	93de8c4bb245b253dfc357349a9b81e5ed6fb01ac1c9513e0c36fbf5c5a84167	76312	libbz2.so.1.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z/termux-native-desktop-freetype-bounded-provider-authority-20260717T114408Z-results.tar.zst	1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	APPEND_ONLY_INDEX_RECEIPT_SHA256	eed95221332a7dd309788b72e651ccb7c40ca91ffe6f7f3ea231433804b787f7	APPEND_ONLY_RESULT_FILE_INDEX_MEMBER	profiles/freetype-legacy-result-file-index.tsv	data/data/com.termux/files/usr/glibc/lib/libbz2.so.1.0.8	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583380	1785514900864547877	1785514900864547877
14	LSM-CONTRACT-014	MAT-OBJ-014	object:2440680a9d0c94d58d87d591	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/14-2440680a9d0c94d5/libcairo-gobject.so.2.11802.2	2440680a9d0c94d58d87d5916d168535b7dc4263648df9aa0b787ef2f7d3a166	67312	libcairo-gobject.so.2	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libcairo-gobject.so.2.11802.2	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583411	1785514901084547877	1785514901084547877
15	LSM-CONTRACT-015	MAT-OBJ-015	object:43cd64f07e1c33e5bd574fe7	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/15-43cd64f07e1c33e5/libcairo.so.2.11802.2	43cd64f07e1c33e5bd574fe7f50a20062a2ab6836adf80e1b5f4b6846e05264d	1382952	libcairo.so.2	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libcairo.so.2.11802.2	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583413	1785514901200547877	1785514901200547877
16	LSM-CONTRACT-016	MAT-OBJ-016	object:54dea7e30b9e02f5626a374e	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/16-54dea7e30b9e02f5/libcloudproviders.so.0.3.6	54dea7e30b9e02f5626a374e5b62e5e975684a426a940f525a18eb4ce9e4f030	133104	libcloudproviders.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-active-dependency-packages/libcloudproviders-glibc_0.3.6_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libcloudproviders.so.0.3.6	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2568043	1785514894348547879	1785514894348547879
17	LSM-CONTRACT-017	MAT-OBJ-017	object:8052746b4003c367e811dc26	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/17-8052746b4003c367/libdatrie.so.1.4.0	8052746b4003c367e811dc26686373455f687e11bf95cbbe8772a2069b86e7dd	76248	libdatrie.so.1	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-pango-dependency-packages/libdatrie-glibc_0.2.13_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libdatrie.so.1.4.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2568139	1785514894484547879	1785514894484547879
18	LSM-CONTRACT-018	MAT-OBJ-018	object:403f566468fb5212173407d0	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/18-403f566468fb5212/libepoxy.so.0.0.0	403f566468fb5212173407d041a660af0ff459841e9b0ca2274e9c28ac98c723	1406520	libepoxy.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-epoxy-dependency-packages/libepoxy-glibc_1.5.10_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libepoxy.so.0.0.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2568168	1785514894716547879	1785514894716547879
19	LSM-CONTRACT-019	MAT-OBJ-019	object:33769b91e5bc82e4453766c9	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/19-33769b91e5bc82e4/libfontconfig.so.1.14.0	33769b91e5bc82e4453766c957733fecc45cf6d0c696fe52c3cdb4084daa591e	329624	libfontconfig.so.1	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-dependency-packages/fontconfig-glibc_2.15.0-1_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libfontconfig.so.1.14.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2568540	1785514894892547879	1785514894892547879
20	LSM-CONTRACT-020	MAT-OBJ-020	object:04723b724b36bd516936461d	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/20-04723b724b36bd51/libfreetype.so.6.20.2	04723b724b36bd516936461db4ee32a692f15af7abb99cd52cd287afa36118cf	788368	libfreetype.so.6	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-gtk-dependency-packages/freetype-glibc_2.13.3_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libfreetype.so.6.20.2	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2568622	1785514895092547879	1785514895092547879
21	LSM-CONTRACT-021	MAT-OBJ-021	object:71668fd02e89fa7546446bb7	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/21-71668fd02e89fa75/libfribidi.so.0.4.0	71668fd02e89fa7546446bb7961bb618f6d22e1506f7444bbea6788befbb7895	133080	libfribidi.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-pango-dependency-packages/fribidi-glibc_1.0.16_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libfribidi.so.0.4.0	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2568703	1785514895232547879	1785514895232547879
22	LSM-CONTRACT-022	MAT-OBJ-022	object:a237c3070ff1704f119cc318	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/22-a237c3070ff1704f/libgdk-3.so.0.2417.32	a237c3070ff1704f119cc318b6b837a9430a350648476123c1be75ba768d415d	1367912	libgdk-3.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	lib/libgdk-3.so.0.2417.32	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2569258	1785514895940547879	1785514895940547879
23	LSM-CONTRACT-023	MAT-OBJ-023	object:0c1404c6854e7674428a5b65	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/23-0c1404c6854e7674/libgdk_pixbuf-2.0.so.0.4200.12	0c1404c6854e7674428a5b653b240759dac0374631697fe61ae275898f6a809f	758824	libgdk_pixbuf-2.0.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	sha256:1cebcf8784c6d2e8c8549eadd63007d9f99bb3e90e35ce0786a5d89f6cbecca0	1cebcf8784c6d2e8c8549eadd63007d9f99bb3e90e35ce0786a5d89f6cbecca0	EXISTING_AUTHORITY_DIGEST_SENTINEL	EXISTING_AUTHORITY_DIGEST	EXISTING_AUTHORITY_RECORD_MEMBER	EXISTING_AUTHORITY_RECORD	libgdk_pixbuf-2.0.so.0.4200.12	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2583418	1785514901428547877	1785514901428547877
24	LSM-CONTRACT-024	MAT-OBJ-024	object:aa9fa8876fac733457027306	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/24-aa9fa8876fac7334/libgio-2.0.so.0.8200.2	aa9fa8876fac7334570273064be05c3e65ba0f16d30a77a5929f48b12bfe64b3	2493872	libgio-2.0.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-dependency-packages/glib-glibc_2.82.2-2_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libgio-2.0.so.0.8200.2	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2582677	1785514897496547878	1785514897496547878
25	LSM-CONTRACT-025	MAT-OBJ-025	object:e0504b50e14870623e10490d	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/exact-input-transaction/provider-members/25-e0504b50e1487062/libglib-2.0.so.0.8200.2	e0504b50e14870623e10490d76b78c7a8d0037a54fe354429e2e3b5ac07ae0d5	1576528	libglib-2.0.so.0	ELF64	LITTLE_ENDIAN	AARCH64	ET_DYN	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-gtk3-v101-elf-validation-pipefail-boundary-20260725T172756Z-results.tar.zst	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	RESULT_INDEX_SHA256	9b360f096afd8c464400a211feedc9ab20146b504415658c7a44c04cf6f026a0	INDEXED_RESULT_DEB_MEMBER	candidate/private-dependency-packages/glib-glibc_2.82.2-2_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libglib-2.0.so.0.8200.2	VERIFIED_EXACT_LOCAL_SUPPLY_BINDING	10534	256	65082	2582679	1785514897728547878	1785514897728547878
