evidence_row_id	capability_partition	identity_label	lookup_name	soname	oracle_package_or_source	oracle_version	search_tokens	candidate_binding_state	artifact_member_binding_state	final_provider_state	authority_issue_ids	target_population_state
selected:038ff19f8fcdc358c1af	graphics	libVkLayer_MESA_device_select.so	libVkLayer_MESA_device_select.so	libVkLayer_MESA_device_select.so	mesa-vulkan-drivers:arm64	25.0.7-2	mesa;vulkan;device-select;vklayer-mesa-device-select;mesa-vulkan-drivers	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-005	BLOCKED
selected:bcc68afe696f548e1b77	gtk-gui	libatk-bridge-2.0.so.0.0.0	libatk-bridge-2.0.so.0	libatk-bridge-2.0.so.0	libatk-bridge2.0-0t64:arm64	2.56.2-1+deb13u1	atk;at-spi;bridge;atk-bridge-2.0;libatk-bridge2.0-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:292a5f56eeea3bd65c4b	gtk-gui	libatk-1.0.so.0.25611.1	libatk-1.0.so.0	libatk-1.0.so.0	libatk1.0-0t64:arm64	2.56.2-1+deb13u1	atk;atk-1.0;libatk1.0-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:36e7af00d16415ae9efa	gtk-gui	libatspi.so.0.0.1	libatspi.so.0	libatspi.so.0	libatspi2.0-0t64:arm64	2.56.2-1+deb13u1	at-spi;atspi;libatspi2.0-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:e8ccf42491e69aba6284	gtk-gui	libcairo-gobject.so.2.11804.4	libcairo-gobject.so.2	libcairo-gobject.so.2	libcairo-gobject2:arm64	1.18.4-1+b1	cairo;cairo-gobject;libcairo-gobject	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:553839925ebeb658612d	gtk-gui	libcairo.so.2.11804.4	libcairo.so.2	libcairo.so.2	libcairo2:arm64	1.18.4-1+b1	cairo;libcairo	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:b912b41387c558b52895	gtk-gui	libcloudproviders.so.0.3.6	libcloudproviders.so.0	libcloudproviders.so.0	libcloudproviders0:arm64	0.3.6-2	cloudproviders;libcloudproviders	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:5909031aa9e67d50214b	gtk-gui	libdatrie.so.1.4.0	libdatrie.so.1	libdatrie.so.1	libdatrie1:arm64	0.2.13-3+b1	datrie;libdatrie	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:0802b57eadc2dd33925a	gtk-gui	libepoxy.so.0.0.0	libepoxy.so.0	libepoxy.so.0	libepoxy0:arm64	1.5.10-2	epoxy;libepoxy	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:33fe337448a19e2c6f2f	gtk-gui	libfontconfig.so.1.12.1	libfontconfig.so.1	libfontconfig.so.1	libfontconfig1:arm64	2.15.0-2.3	fontconfig;libfontconfig	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:654806f659f7b97ba9d1	gtk-gui	libfreetype.so.6.20.2	libfreetype.so.6	libfreetype.so.6	libfreetype6:arm64	2.13.3+dfsg-1+deb13u1	freetype;libfreetype	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:5d210dfa49b6cf4c1077	gtk-gui	libfribidi.so.0.4.0	libfribidi.so.0	libfribidi.so.0	libfribidi0:arm64	1.0.16-1	fribidi;libfribidi	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:b577593923c28a50a012	gtk-gui	libgdk_pixbuf-2.0.so.0.4200.12	libgdk_pixbuf-2.0.so.0	libgdk_pixbuf-2.0.so.0	libgdk-pixbuf-2.0-0:arm64	2.42.12+dfsg-4+deb13u1	gdk-pixbuf;pixbuf;gdk-pixbuf-2.0;libgdk-pixbuf-2.0-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:6052b6396205eed6dbb6	gtk-gui	libgio-2.0.so.0.8400.4	libgio-2.0.so.0	libgio-2.0.so.0	libglib2.0-0t64:arm64	2.84.4-3~deb13u3	glib;gio;gio-2.0;libglib2.0-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:d8dfbc099c8bd2072e3f	gtk-gui	libglib-2.0.so.0.8400.4	libglib-2.0.so.0	libglib-2.0.so.0	libglib2.0-0t64:arm64	2.84.4-3~deb13u3	glib;glib-2.0;libglib2.0-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:6e7f73b2a1ff4758f39a	gtk-gui	libgmodule-2.0.so.0.8400.4	libgmodule-2.0.so.0	libgmodule-2.0.so.0	libglib2.0-0t64:arm64	2.84.4-3~deb13u3	glib;gmodule;gmodule-2.0;libglib2.0-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:1997bce83f1eb5ffef9a	gtk-gui	libgobject-2.0.so.0.8400.4	libgobject-2.0.so.0	libgobject-2.0.so.0	libglib2.0-0t64:arm64	2.84.4-3~deb13u3	glib;gobject;gobject-2.0;libglib2.0-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:5de74dd687fd1dd5ee3a	gtk-gui	libgraphite2.so.3.2.1	libgraphite2.so.3	libgraphite2.so.3	libgraphite2-3:arm64	1.3.14-2+b1	graphite2;libgraphite2-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:3b13f088b32606984a58	gtk-gui	libgdk-3.so.0.2417.32	libgdk-3.so.0	libgdk-3.so.0	libgtk-3-0t64:arm64	3.24.49-3	gtk3;gdk;gdk-3;libgtk-3-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:7bf9d7a4d1980f5e0a95	gtk-gui	libgtk-3.so.0.2417.32	libgtk-3.so.0	libgtk-3.so.0	libgtk-3-0t64:arm64	3.24.49-3	gtk3;gtk;gtk-3;libgtk-3-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:c41cd8cc82847fba1410	gtk-gui	libharfbuzz.so.0.61020.0	libharfbuzz.so.0	libharfbuzz.so.0	libharfbuzz0b:arm64	10.2.0-1+deb13u1	harfbuzz;libharfbuzz0b	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:a7e42baafca8ed4717e3	gtk-gui	libjpeg.so.62.3.0	libjpeg.so.62	libjpeg.so.62	libjpeg62-turbo:arm64	1:2.1.5-4	jpeg;libjpeg-turbo;libjpeg62-turbo	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:ff6dae6f57afefe0d2b1	gtk-gui	libmount.so.1.1.0	libmount.so.1	libmount.so.1	libmount1:arm64	2.41-5	util-linux;mount;blkid;libmount	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:1ae5e5d5ff7893c87e25	gtk-gui	libpango-1.0.so.0.5600.3	libpango-1.0.so.0	libpango-1.0.so.0	libpango-1.0-0:arm64	1.56.3-1	pango;pango-1.0;libpango-1.0-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:d73a4eb5d9d5ee688632	gtk-gui	libpangocairo-1.0.so.0.5600.3	libpangocairo-1.0.so.0	libpangocairo-1.0.so.0	libpangocairo-1.0-0:arm64	1.56.3-1	pango;cairo;pangocairo-1.0;libpangocairo-1.0-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:beb2bb532f0a84c2835f	gtk-gui	libpangoft2-1.0.so.0.5600.3	libpangoft2-1.0.so.0	libpangoft2-1.0.so.0	libpangoft2-1.0-0:arm64	1.56.3-1	pango;freetype;pangoft2-1.0;libpangoft2-1.0-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:84b77925eeb02b53f18e	gtk-gui	libpixman-1.so.0.44.0	libpixman-1.so.0	libpixman-1.so.0	libpixman-1-0:arm64	0.44.0-3	pixman;pixman-1;libpixman-1-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:4a768de6fd1891617456	gtk-gui	libpng16.so.16.48.0	libpng16.so.16	libpng16.so.16	libpng16-16t64:arm64	1.6.48-1+deb13u5	libpng;png;png16;libpng16-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:7e82ba054b7d9f26f80e	gtk-gui	libselinux.so.1	libselinux.so.1	libselinux.so.1	libselinux1:arm64	3.8.1-1	selinux;libselinux	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:fec77ea4c45ec1a2990d	gtk-gui	libthai.so.0.3.1	libthai.so.0	libthai.so.0	libthai0:arm64	0.1.29-2+b1	libthai;thai	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:325be465ce7f532f8ff1	gtk-gui	libXcomposite.so.1.0.0	libXcomposite.so.1	libXcomposite.so.1	libxcomposite1:arm64	1:0.4.6-1	xcomposite;libxcomposite	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:e57423d1cb58b1b78ba4	gtk-gui	libXcursor.so.1.0.2	libXcursor.so.1	libXcursor.so.1	libxcursor1:arm64	1:1.2.3-1	xcursor;libxcursor	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:b0a8934c10bddecfc8ae	gtk-gui	libXdamage.so.1.1.0	libXdamage.so.1	libXdamage.so.1	libxdamage1:arm64	1:1.1.6-1+b2	xdamage;libxdamage	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:83bc985c49ec2d778e60	gtk-gui	libXfixes.so.3.1.0	libXfixes.so.3	libXfixes.so.3	libxfixes3:arm64	1:6.0.0-2+b4	xfixes;libxfixes	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:b869b82b3c70ee88cb30	gtk-gui	libXi.so.6.1.0	libXi.so.6	libXi.so.6	libxi6:arm64	2:1.8.2-1	libxi;xi	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:26a520f7c61bdc61e17c	gtk-gui	libXinerama.so.1.0.0	libXinerama.so.1	libXinerama.so.1	libxinerama1:arm64	2:1.1.4-3+b4	xinerama;libxinerama	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:0eab80f8c75b58f5c92a	gtk-gui	libxkbcommon.so.0.0.0	libxkbcommon.so.0	libxkbcommon.so.0	libxkbcommon0:arm64	1.7.0-2	xkbcommon;libxkbcommon	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:05c00883459557230afc	audio	libasound.so.2.0.0	libasound.so.2	libasound.so.2	libasound2t64:arm64	1.2.14-1	alsa;asound;libasound	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:263d670b285ce1ec825f	other	libudev.so.1.7.10	libudev.so.1	libudev.so.1	libudev1:arm64	257.13-1~deb13u1	udev;systemd;libudev-zero;libudev	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:35b1c9007c3c83cca870	printing	libavahi-client.so.3.2.9	libavahi-client.so.3	libavahi-client.so.3	libavahi-client3:arm64	0.8-16	avahi;avahi-client;libavahi-client	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-004	BLOCKED
selected:3dcc0e9505902abee7cd	printing	libavahi-common.so.3.5.4	libavahi-common.so.3	libavahi-common.so.3	libavahi-common3:arm64	0.8-16	avahi;avahi-common;libavahi-common	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-004	BLOCKED
selected:abf1f2bcc689273af482	printing	libcups.so.2	libcups.so.2	libcups.so.2	libcups2t64:arm64	2.4.10-3+deb13u2	cups;libcups	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-004	BLOCKED
selected:8415133f42365efb9394	printing	libgnutls.so.30.40.3	libgnutls.so.30	libgnutls.so.30	libgnutls30t64:arm64	3.8.9-3+deb13u4	gnutls;libgnutls	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-004	BLOCKED
selected:6d981b8963608a8e0e6b	printing	libhogweed.so.6.10	libhogweed.so.6	libhogweed.so.6	libhogweed6t64:arm64	3.10.1-1	nettle;hogweed;libhogweed	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-004	BLOCKED
selected:1db5922d01fc2d9e4533	printing	libnettle.so.8.10	libnettle.so.8	libnettle.so.8	libnettle8t64:arm64	3.10.1-1	nettle;libnettle	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-004	BLOCKED
selected:f81e2ae2dd9ff402c2fc	printing	libp11-kit.so.0.4.1	libp11-kit.so.0	libp11-kit.so.0	libp11-kit0:arm64	0.25.5-3	p11-kit;libp11-kit	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-004	BLOCKED
selected:9c9dbf2702e796a10c69	printing	libtasn1.so.6.6.4	libtasn1.so.6	libtasn1.so.6	libtasn1-6:arm64	4.20.0-2	libtasn1;tasn1;libtasn1-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-004	BLOCKED
selected:5112da4dd8080fe0687f	printing	libdbus-1.so.3.38.3	libdbus-1.so.3	libdbus-1.so.3	libdbus-1-3:arm64	1.16.2-2	dbus;dbus-1;libdbus-1-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-004;AUTH-009	BLOCKED
selected:941f74c36395eb5983c4	printing	libsystemd.so.0.40.0	libsystemd.so.0	libsystemd.so.0	libsystemd0:arm64	257.13-1~deb13u1	systemd;libsystemd	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-004;AUTH-009	BLOCKED
