root_review_id	review_tier	recipe_root	recipe_tree	recipe_resolved_full_version	recipe_file_count	build_script_signal_count	artifact_count	identity_count	recipe_inventory_review_state	build_provenance_review_state	adaptation_semantic_review_state	adaptation_necessity_review_state	continuity_policy_review_state	object_correction_review_state	authority_state
generic-root-review:5cde09ffb57ae90a949d	T6_NO_TOKEN_EXACT	gpkg/libxi	9be86de0575a2ae7c8e904d6724d07bacd96d099	1.8.2	1	0	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	FULL_NO_TOKEN_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:68be7e5a4186aff4fd0d	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/libsqlite	f40cf35fe65fe08cdcc5dc69d36e19c5bbcca408	3.49.1	6	15	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:6ea790cafac47e460e89	T2_MATERIAL_DELTA_EXACT	gpkg/util-linux	e91a0c476ef4355dbfff46e2bcab23d0085ddd01	2.40.2-1	11	5	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:706bd01fdd0555fcabc9	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/harfbuzz	f353d5f116250f7bcab7ecf062cdb13728b0ecc8	10.1.0	5	4	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:778b62f6da21fd02f1bb	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/libxkbcommon	5fda5da07e6b38230082785d352adc4e6fb9c4da	1.8.0	1	2	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:7ddd185f55bd2a91009e	T2_MATERIAL_DELTA_EXACT	gpkg/libdatrie	d773dbb3e0ad7eb29f323f75cb731e30eff66904	0.2.13	1	2	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:871a690716276e3765a2	T6_NO_TOKEN_EXACT	gpkg/libxcomposite	5df15021d34e11560691926e2054272b5d3b6984	0.4.6	1	0	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	FULL_NO_TOKEN_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:88cec59d1ec77cd9f7bd	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/libthai	4943c66ff96eeddc0d6d05a57fb24418fb0cd7d2	0.1.29	1	1	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:89ca3d57915910fa5a81	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/alsa-lib	56309a1362140190ab6b3cadd4725447d8a9eb59	1.2.13	1	3	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:8fba4c31866e5ce912d6	T6_NO_TOKEN_EXACT	gpkg/libxinerama	0ecad3a5840978f10eb6964f073d0ffb6a1a69c0	1.1.5	1	0	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	FULL_NO_TOKEN_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:9147ecc3cb3d2ae95b32	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/libgnutls	8851cd93d2e7c823b86e3940d7b61fd1965594e6	3.8.9	2	2	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:ad4e1b984c7087426ee9	T6_NO_TOKEN_EXACT	gpkg/libtasn1	3601f2ed3c9fd4d03c20c0d854d7b3aa05628482	4.20.0	1	0	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	FULL_NO_TOKEN_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:af39bbec812180537c5a	T2_MATERIAL_DELTA_EXACT	gpkg/freetype	3a92f7895a8a4ef5cfe33fcc8b806acccffd0313	2.13.3	1	3	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:b2edb795edece4a59650	T6_NO_TOKEN_EXACT	gpkg/libxfixes	14916897595c88d8dc9c346884799171c22b4c15	6.0.1	1	0	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	FULL_NO_TOKEN_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:c38f6cb7aef89fe33a48	T2_MATERIAL_DELTA_EXACT	gpkg/fribidi	41ad596c81980f710112cd74d4f1b428cfbc6d6a	1.0.16	1	2	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:c59af7056fbbff435bc8	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/glib	de335e6ba82f295978c17dcf3666a38bfd51538f	2.82.2-2	13	7	1	4	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:d5acfe552821242c8bec	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/libcloudproviders	ca7597d86cb1610e64f209ff2b84c3ea13c4357a	0.3.6	1	1	1	1	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
generic-root-review:f358ae77e439240484e8	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/libnettle	123402f8505f9f9af168f50f1d32f026f12be5f0	3.10.1	2	0	1	2	PINNED_RECIPE_FILE_AND_SIGNAL_INVENTORY_CONFIRMED	OPEN_EXTERNAL_DIGEST_BOUND_BUILD_RECORD_REQUIRED	RECIPE_DELTA_SEMANTIC_REVIEW_OPEN	OPEN_CLASSIFICATION_REQUIRED	OPEN_UPDATE_ROLLBACK_POLICY_REQUIRED	NOT_APPLICABLE	OPEN_NO_ACCEPTANCE
