target_record_id	application_composition_id	provider_object_id	application_identity_key	supply_artifact_id	source_artifact_member_path	target_domain	target_relative_path	target_node_type	target_mode_policy	target_owner_policy	target_mutability	target_alias_class	target_collision_policy	update_domain	rollback_domain	validation_gate_ids	authority_issue_ids	authority_acceptance_state	population_state
target:f4aa7e28a1c86cd7b008108e	SELECTED-COMPOSITION-ACCEPT-001	object:bff931629d90ef6858b43e6f	-	-	-	SHARED_PROVIDER	lib/libXinerama.so.1	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:0aa893e3f9ebb8e90ced7803	SELECTED-COMPOSITION-ACCEPT-001	object:bff931629d90ef6858b43e6f	-	-	-	SHARED_PROVIDER	lib/libXinerama.so.1.0.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:f88821cf169a28ecdd6b5553	SELECTED-COMPOSITION-ACCEPT-001	object:55c9c8a3767258bcc1d25640	-	-	-	SHARED_PROVIDER	lib/libatk-1.0.so.0	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:9f4cd18d0312092b2a83f6cd	SELECTED-COMPOSITION-ACCEPT-001	object:55c9c8a3767258bcc1d25640	-	-	-	SHARED_PROVIDER	lib/libatk-1.0.so.0.25611.1	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:878ba62a082852a012b33c3a	SELECTED-COMPOSITION-ACCEPT-001	object:cce78fd50cb5b3a19bdc0461	-	-	-	SHARED_PROVIDER	lib/libatk-bridge-2.0.so.0	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:2f866e139cb66d2823e83a99	SELECTED-COMPOSITION-ACCEPT-001	object:cce78fd50cb5b3a19bdc0461	-	-	-	SHARED_PROVIDER	lib/libatk-bridge-2.0.so.0.0.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:8269e41eae01e8513022edb4	SELECTED-COMPOSITION-ACCEPT-001	object:e94f2980cf8580634d7ab3c4	-	-	-	SHARED_PROVIDER	lib/libatspi.so.0	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:3424a4301b22e6aa698ad4aa	SELECTED-COMPOSITION-ACCEPT-001	object:e94f2980cf8580634d7ab3c4	-	-	-	SHARED_PROVIDER	lib/libatspi.so.0.0.1	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:1e4cb874e1c15801780f0df0	SELECTED-COMPOSITION-ACCEPT-001	object:21d47963d42a5b1c4008c88a	-	-	-	SHARED_PROVIDER	lib/libblkid.so.1	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:133df62c28a1960a60e16b9b	SELECTED-COMPOSITION-ACCEPT-001	object:21d47963d42a5b1c4008c88a	-	-	-	SHARED_PROVIDER	lib/libblkid.so.1.1.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:6872ab15c55fc7d9ce0333aa	SELECTED-COMPOSITION-ACCEPT-001	object:46ae61c88b9a2f32b13dfe81	-	-	-	SHARED_PROVIDER	lib/libbrotlicommon.so.1	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:5c98e98cd68965578b006086	SELECTED-COMPOSITION-ACCEPT-001	object:46ae61c88b9a2f32b13dfe81	-	-	-	SHARED_PROVIDER	lib/libbrotlicommon.so.1.1.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:abda5b290a10c4c2a459278c	SELECTED-COMPOSITION-ACCEPT-001	object:8faac8e6d945bf1d5f113d98	-	-	-	SHARED_PROVIDER	lib/libbrotlidec.so.1	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:f8001b103c34411d93135b92	SELECTED-COMPOSITION-ACCEPT-001	object:8faac8e6d945bf1d5f113d98	-	-	-	SHARED_PROVIDER	lib/libbrotlidec.so.1.1.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:9e0c641a45e9be0f4b94a5ad	SELECTED-COMPOSITION-ACCEPT-001	object:93de8c4bb245b253dfc35734	-	-	-	SHARED_PROVIDER	lib/libbz2.so.1.0	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:f7728cbe54d8b8951d2dfb08	SELECTED-COMPOSITION-ACCEPT-001	object:93de8c4bb245b253dfc35734	-	-	-	SHARED_PROVIDER	lib/libbz2.so.1.0.8	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:7e1900371931f39a66d1a18e	SELECTED-COMPOSITION-ACCEPT-001	object:2440680a9d0c94d58d87d591	-	-	-	SHARED_PROVIDER	lib/libcairo-gobject.so.2	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:c26ba4d4577e8adda59f2832	SELECTED-COMPOSITION-ACCEPT-001	object:2440680a9d0c94d58d87d591	-	-	-	SHARED_PROVIDER	lib/libcairo-gobject.so.2.11802.2	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:5b0786f80398f0d309af47cc	SELECTED-COMPOSITION-ACCEPT-001	object:43cd64f07e1c33e5bd574fe7	-	-	-	SHARED_PROVIDER	lib/libcairo.so.2	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:573602d5088f51c0db543d16	SELECTED-COMPOSITION-ACCEPT-001	object:43cd64f07e1c33e5bd574fe7	-	-	-	SHARED_PROVIDER	lib/libcairo.so.2.11802.2	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:66c132f693d45def7b513ec7	SELECTED-COMPOSITION-ACCEPT-001	object:54dea7e30b9e02f5626a374e	-	-	-	SHARED_PROVIDER	lib/libcloudproviders.so.0	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:005f2e7bbf370639d58dbe63	SELECTED-COMPOSITION-ACCEPT-001	object:54dea7e30b9e02f5626a374e	-	-	-	SHARED_PROVIDER	lib/libcloudproviders.so.0.3.6	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:2c8acecaa2fff0e83df188c7	SELECTED-COMPOSITION-ACCEPT-001	object:8052746b4003c367e811dc26	-	-	-	SHARED_PROVIDER	lib/libdatrie.so.1	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:9070544f59ddfecd7601337e	SELECTED-COMPOSITION-ACCEPT-001	object:8052746b4003c367e811dc26	-	-	-	SHARED_PROVIDER	lib/libdatrie.so.1.4.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:1bb3a5ae9878160adf47760b	SELECTED-COMPOSITION-ACCEPT-001	object:403f566468fb5212173407d0	-	-	-	SHARED_PROVIDER	lib/libepoxy.so.0	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:329a3ff402732bf9b5820714	SELECTED-COMPOSITION-ACCEPT-001	object:403f566468fb5212173407d0	-	-	-	SHARED_PROVIDER	lib/libepoxy.so.0.0.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:1d87b2af7bad1b115bb0cd82	SELECTED-COMPOSITION-ACCEPT-001	object:33769b91e5bc82e4453766c9	-	-	-	SHARED_PROVIDER	lib/libfontconfig.so.1	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:c18ed563af460c16e1111e8d	SELECTED-COMPOSITION-ACCEPT-001	object:33769b91e5bc82e4453766c9	-	-	-	SHARED_PROVIDER	lib/libfontconfig.so.1.14.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:4c3bedce462b4f91ea32dbb2	SELECTED-COMPOSITION-ACCEPT-001	object:04723b724b36bd516936461d	-	-	-	SHARED_PROVIDER	lib/libfreetype.so.6	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:3394da9fcce301a8c16aee88	SELECTED-COMPOSITION-ACCEPT-001	object:04723b724b36bd516936461d	-	-	-	SHARED_PROVIDER	lib/libfreetype.so.6.20.2	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:a98006d4e2e1fcae5090548e	SELECTED-COMPOSITION-ACCEPT-001	object:71668fd02e89fa7546446bb7	-	-	-	SHARED_PROVIDER	lib/libfribidi.so.0	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:38d3ab5462f264dce71c4216	SELECTED-COMPOSITION-ACCEPT-001	object:71668fd02e89fa7546446bb7	-	-	-	SHARED_PROVIDER	lib/libfribidi.so.0.4.0	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:3cbb774441635678bcdf9e5a	SELECTED-COMPOSITION-ACCEPT-001	object:a237c3070ff1704f119cc318	-	-	-	SHARED_PROVIDER	lib/libgdk-3.so.0	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:1b80df3b86c8202fb201faaf	SELECTED-COMPOSITION-ACCEPT-001	object:a237c3070ff1704f119cc318	-	-	-	SHARED_PROVIDER	lib/libgdk-3.so.0.2417.32	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:84b14bfb8944552ba5d2a9f2	SELECTED-COMPOSITION-ACCEPT-001	object:0c1404c6854e7674428a5b65	-	-	-	SHARED_PROVIDER	lib/libgdk_pixbuf-2.0.so.0	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:73c640fecbb3345aa84fc81c	SELECTED-COMPOSITION-ACCEPT-001	object:0c1404c6854e7674428a5b65	-	-	-	SHARED_PROVIDER	lib/libgdk_pixbuf-2.0.so.0.4200.12	REGULAR	IMMUTABLE_READONLY	PROVIDER_OWNER	IMMUTABLE	NONE	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
target:c1b427dfacfb13dede0c59e7	SELECTED-COMPOSITION-ACCEPT-001	object:aa9fa8876fac733457027306	-	-	-	SHARED_PROVIDER	lib/libgio-2.0.so.0	SYMLINK	DOMAIN_DEFAULT	PROVIDER_OWNER	IMMUTABLE	SONAME_RUNTIME_ALIAS	ERROR	GENERIC_PROVIDER_UPDATE	PROVIDER	SELECTED-COMPOSITION-ACCEPT-001;SELECTED-TARGET-MANIFEST-REVIEW-001	TARGET-MANIFEST-ACCEPTANCE-OPEN	PROVISIONAL_BLOCKED	UNPOPULATED_SCHEMA_ONLY
