evidence_row_id	capability_partition	identity_label	expected_soname_alias	candidate_artifact_ids	candidate_packages	exact_artifact_id	exact_member_path	exact_member_sha256	exact_observed_elf_soname	alias_artifact_id	alias_member_path	alias_link_target	alias_target_member_path	family_observed_basenames	review_state	object_member_evidence_state	artifact_to_recipe_binding_state	termux_android_adaptation_state	final_provider_state	target_population_state
selected:a7e42baafca8ed4717e3	gtk-gui	libjpeg.so.62.3.0	libjpeg.so.62	generic-artifact:e672a721d7a949048cab	libjpeg-turbo-glibc	-	-	-	-	-	-	-	-	libjpeg.so;libjpeg.so.8;libjpeg.so.8.3.2	EXPECTED_SONAME_ALIAS_NOT_OBSERVED_DIFFERENT_FAMILY_MEMBERS_PRESENT	EXPECTED_SONAME_ALIAS_ABSENT	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:b869b82b3c70ee88cb30	gtk-gui	libXi.so.6.1.0	libXi.so.6	generic-artifact:716705064cc53d3237a3	libxi-glibc	generic-artifact:716705064cc53d3237a3	data/data/com.termux/files/usr/glibc/lib/libXi.so.6.1.0	6f50cad56bb44c7900e692697bb5afcdd68c889be0c95eeda3775c8a2ac4de00	libXi.so.6	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:b912b41387c558b52895	gtk-gui	libcloudproviders.so.0.3.6	libcloudproviders.so.0	generic-artifact:62b4d4f5263a7750f56e	libcloudproviders-glibc	generic-artifact:62b4d4f5263a7750f56e	data/data/com.termux/files/usr/glibc/lib/libcloudproviders.so.0.3.6	54dea7e30b9e02f5626a374e5b62e5e975684a426a940f525a18eb4ce9e4f030	libcloudproviders.so.0	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:beb2bb532f0a84c2835f	gtk-gui	libpangoft2-1.0.so.0.5600.3	libpangoft2-1.0.so.0	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	-	-	-	-	generic-artifact:7fdbef58f2a4fff712db	./data/data/com.termux/files/usr/glibc/lib/libpangoft2-1.0.so.0	libpangoft2-1.0.so.0.5400.0	./data/data/com.termux/files/usr/glibc/lib/libpangoft2-1.0.so.0.5400.0	libpangoft2-1.0.so;libpangoft2-1.0.so.0;libpangoft2-1.0.so.0.5400.0	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:c41cd8cc82847fba1410	gtk-gui	libharfbuzz.so.0.61020.0	libharfbuzz.so.0	generic-artifact:d0e4a83180560341dc02	harfbuzz-glibc	-	-	-	-	generic-artifact:d0e4a83180560341dc02	./data/data/com.termux/files/usr/glibc/lib/libharfbuzz.so.0	libharfbuzz.so.0.61010.0	./data/data/com.termux/files/usr/glibc/lib/libharfbuzz.so.0.61010.0	libharfbuzz.so;libharfbuzz.so.0;libharfbuzz.so.0.61010.0	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:d73a4eb5d9d5ee688632	gtk-gui	libpangocairo-1.0.so.0.5600.3	libpangocairo-1.0.so.0	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	-	-	-	-	generic-artifact:7fdbef58f2a4fff712db	./data/data/com.termux/files/usr/glibc/lib/libpangocairo-1.0.so.0	libpangocairo-1.0.so.0.5400.0	./data/data/com.termux/files/usr/glibc/lib/libpangocairo-1.0.so.0.5400.0	libpangocairo-1.0.so;libpangocairo-1.0.so.0;libpangocairo-1.0.so.0.5400.0	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:d8dfbc099c8bd2072e3f	gtk-gui	libglib-2.0.so.0.8400.4	libglib-2.0.so.0	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	-	-	-	-	generic-artifact:d91fe1202c51f7e59b12	./data/data/com.termux/files/usr/glibc/lib/libglib-2.0.so.0	libglib-2.0.so.0.8200.2	./data/data/com.termux/files/usr/glibc/lib/libglib-2.0.so.0.8200.2	libglib-2.0.so;libglib-2.0.so.0;libglib-2.0.so.0.8200.2;libglib-2.0.so.0.8200.2-gdb.py	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:e57423d1cb58b1b78ba4	gtk-gui	libXcursor.so.1.0.2	libXcursor.so.1	generic-artifact:7901dd136016df9d694e	libxcursor-glibc	generic-artifact:7901dd136016df9d694e	data/data/com.termux/files/usr/glibc/lib/libXcursor.so.1.0.2	86e70b94186edb4c16cf00f2bcea4a03ea09bb486ee6a079dd11d3ef6fffe722	libXcursor.so.1	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:e8ccf42491e69aba6284	gtk-gui	libcairo-gobject.so.2.11804.4	libcairo-gobject.so.2	generic-artifact:3250dba4dc3312b4fcaa	libcairo-glibc	-	-	-	-	generic-artifact:3250dba4dc3312b4fcaa	./data/data/com.termux/files/usr/glibc/lib/libcairo-gobject.so.2	libcairo-gobject.so.2.11802.2	./data/data/com.termux/files/usr/glibc/lib/libcairo-gobject.so.2.11802.2	libcairo-gobject.so;libcairo-gobject.so.2;libcairo-gobject.so.2.11802.2	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:f81e2ae2dd9ff402c2fc	printing	libp11-kit.so.0.4.1	libp11-kit.so.0	generic-artifact:66a84ee486990761f3d2	p11-kit-glibc	generic-artifact:66a84ee486990761f3d2	data/data/com.termux/files/usr/glibc/lib/libp11-kit.so.0.4.1	c0e7b00af68cc0196b12581446c6fe3f15c16cd3609949b03f29c4fa16c9a0ee	libp11-kit.so.0	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:fec77ea4c45ec1a2990d	gtk-gui	libthai.so.0.3.1	libthai.so.0	generic-artifact:5aa1d090525e71302abf	libthai-glibc	generic-artifact:5aa1d090525e71302abf	data/data/com.termux/files/usr/glibc/lib/libthai.so.0.3.1	773a629e30546b57d650d9d991d18c64490ef5cf53062fec1e02c69ece66bf9c	libthai.so.0	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:ff6dae6f57afefe0d2b1	gtk-gui	libmount.so.1.1.0	libmount.so.1	generic-artifact:5686fa74699186c96706;generic-artifact:9004e88a9f43b2d5cf74	libmount-glibc;util-linux-glibc	generic-artifact:9004e88a9f43b2d5cf74	data/data/com.termux/files/usr/glibc/lib/libmount.so.1.1.0	6864b9050ddd5884642c98ea4df07e3ceaf78727324d6e9068d1866594ece1c2	libmount.so.1	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
