evidence_row_id	capability_partition	identity_label	artifact_id	package	version	architecture	expected_member_basename	direct_recipe_packages	comparison_edge_state	member_match_state	artifact_to_recipe_binding_state	termux_android_adaptation_state	final_provider_state	target_population_state
selected:1db5922d01fc2d9e4533	printing	libnettle.so.8.10	generic-artifact:ca80686373a3bf340b2a	nettle-glibc	3.10.1	aarch64	libnettle.so.8.10	libnettle;nettle	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:26a520f7c61bdc61e17c	gtk-gui	libXinerama.so.1.0.0	generic-artifact:e849c9e0a6ea5f42d9cf	libxinerama-glibc	1.1.5	aarch64	libXinerama.so.1.0.0	libxinerama	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:325be465ce7f532f8ff1	gtk-gui	libXcomposite.so.1.0.0	generic-artifact:6dc0ea80780ab017ce1e	libxcomposite-glibc	0.4.6	aarch64	libXcomposite.so.1.0.0	libxcomposite	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:33fe337448a19e2c6f2f	gtk-gui	libfontconfig.so.1.12.1	generic-artifact:c6bc4c9801ee7a45b506	fontconfig-glibc	2.15.0-1	aarch64	libfontconfig.so.1.12.1	fontconfig;fontconfig-utils	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:4a768de6fd1891617456	gtk-gui	libpng16.so.16.48.0	generic-artifact:b2835404d3b0f54b75eb	libpng-glibc	1.6.47	aarch64	libpng16.so.16.48.0	libpng	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:5112da4dd8080fe0687f	printing	libdbus-1.so.3.38.3	generic-artifact:a1ee6a6519c54ebfcd61	dbus-glibc	1.15.6-2	aarch64	libdbus-1.so.3.38.3	dbus	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:553839925ebeb658612d	gtk-gui	libcairo.so.2.11804.4	generic-artifact:3250dba4dc3312b4fcaa	libcairo-glibc	1.18.2	aarch64	libcairo.so.2.11804.4	libcairo	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:5909031aa9e67d50214b	gtk-gui	libdatrie.so.1.4.0	generic-artifact:d553cf0a49e324e2595d	libdatrie-glibc	0.2.13	aarch64	libdatrie.so.1.4.0	libdatrie	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:5d210dfa49b6cf4c1077	gtk-gui	libfribidi.so.0.4.0	generic-artifact:9e99711a88e10441c0ee	fribidi-glibc	1.0.16	aarch64	libfribidi.so.0.4.0	fribidi	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:6052b6396205eed6dbb6	gtk-gui	libgio-2.0.so.0.8400.4	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	2.82.2-2	aarch64	libgio-2.0.so.0.8400.4	glib;glib-bin	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:654806f659f7b97ba9d1	gtk-gui	libfreetype.so.6.20.2	generic-artifact:8e1d9d34f13c6c95aba5	freetype-glibc	2.13.3	aarch64	libfreetype.so.6.20.2	freetype	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:6d981b8963608a8e0e6b	printing	libhogweed.so.6.10	generic-artifact:8583729139206b5b11da	libnettle-glibc	3.10.1	aarch64	libhogweed.so.6.10	libnettle;nettle	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:6d981b8963608a8e0e6b	printing	libhogweed.so.6.10	generic-artifact:ca80686373a3bf340b2a	nettle-glibc	3.10.1	aarch64	libhogweed.so.6.10	libnettle;nettle	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:6e7f73b2a1ff4758f39a	gtk-gui	libgmodule-2.0.so.0.8400.4	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	2.82.2-2	aarch64	libgmodule-2.0.so.0.8400.4	glib;glib-bin	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:83bc985c49ec2d778e60	gtk-gui	libXfixes.so.3.1.0	generic-artifact:23fe7f6003d9607db6af	libxfixes-glibc	6.0.1	aarch64	libXfixes.so.3.1.0	libxfixes	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:8415133f42365efb9394	printing	libgnutls.so.30.40.3	generic-artifact:d11c9b4fa85e6a3927dd	gnutls-glibc	3.8.9	aarch64	libgnutls.so.30.40.3	gnutls;libgnutls	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:8415133f42365efb9394	printing	libgnutls.so.30.40.3	generic-artifact:e072748f2ddba21f0193	libgnutls-glibc	3.8.9	aarch64	libgnutls.so.30.40.3	gnutls;libgnutls	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:9c9dbf2702e796a10c69	printing	libtasn1.so.6.6.4	generic-artifact:51ed5e4d2e3fcd5ed966	libtasn1-glibc	4.20.0	aarch64	libtasn1.so.6.6.4	libtasn1	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:9e92e4a04c351aabb559	security	libsqlite3.so.0.8.6	generic-artifact:d377605da9efe94727a1	libsqlite-glibc	3.49.1	aarch64	libsqlite3.so.0.8.6	lemon;libsqlite;sqlite;sqlite-analyzer;sqlite-tcl	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:9e92e4a04c351aabb559	security	libsqlite3.so.0.8.6	generic-artifact:cfa4595cd0bfd7dc6bb5	sqlite-glibc	3.49.1	aarch64	libsqlite3.so.0.8.6	lemon;libsqlite;sqlite;sqlite-analyzer;sqlite-tcl	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:9f95a9cc7b1ea3e0cdc6	graphics	libgbm.so.1.0.0	generic-artifact:fc88e9a3b2ca583b6398	mesa-glibc	24.2.6	aarch64	libgbm.so.1.0.0	mesa;mesa-d3dadapter;mesa-dev;mesa-vulkan-icd-freedreno;mesa-vulkan-icd-swrast;osmesa	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:a7e42baafca8ed4717e3	gtk-gui	libjpeg.so.62.3.0	generic-artifact:e672a721d7a949048cab	libjpeg-turbo-glibc	3.1.0	aarch64	libjpeg.so.62.3.0	libjpeg-turbo;libjpeg-turbo-progs	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:b869b82b3c70ee88cb30	gtk-gui	libXi.so.6.1.0	generic-artifact:716705064cc53d3237a3	libxi-glibc	1.8.2	aarch64	libXi.so.6.1.0	libxi	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:b912b41387c558b52895	gtk-gui	libcloudproviders.so.0.3.6	generic-artifact:62b4d4f5263a7750f56e	libcloudproviders-glibc	0.3.6	aarch64	libcloudproviders.so.0.3.6	libcloudproviders	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:beb2bb532f0a84c2835f	gtk-gui	libpangoft2-1.0.so.0.5600.3	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	1.54.0	aarch64	libpangoft2-1.0.so.0.5600.3	pango	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:c41cd8cc82847fba1410	gtk-gui	libharfbuzz.so.0.61020.0	generic-artifact:d0e4a83180560341dc02	harfbuzz-glibc	10.1.0	aarch64	libharfbuzz.so.0.61020.0	harfbuzz;harfbuzz-cario;harfbuzz-icu;harfbuzz-utils	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:d73a4eb5d9d5ee688632	gtk-gui	libpangocairo-1.0.so.0.5600.3	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	1.54.0	aarch64	libpangocairo-1.0.so.0.5600.3	pango	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:d8dfbc099c8bd2072e3f	gtk-gui	libglib-2.0.so.0.8400.4	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	2.82.2-2	aarch64	libglib-2.0.so.0.8400.4	glib;glib-bin	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:e57423d1cb58b1b78ba4	gtk-gui	libXcursor.so.1.0.2	generic-artifact:7901dd136016df9d694e	libxcursor-glibc	1.2.3	aarch64	libXcursor.so.1.0.2	libxcursor	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:e8ccf42491e69aba6284	gtk-gui	libcairo-gobject.so.2.11804.4	generic-artifact:3250dba4dc3312b4fcaa	libcairo-glibc	1.18.2	aarch64	libcairo-gobject.so.2.11804.4	libcairo	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:f81e2ae2dd9ff402c2fc	printing	libp11-kit.so.0.4.1	generic-artifact:66a84ee486990761f3d2	p11-kit-glibc	0.25.5	aarch64	libp11-kit.so.0.4.1	p11-kit	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:fec77ea4c45ec1a2990d	gtk-gui	libthai.so.0.3.1	generic-artifact:5aa1d090525e71302abf	libthai-glibc	0.1.29	aarch64	libthai.so.0.3.1	libthai	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:ff6dae6f57afefe0d2b1	gtk-gui	libmount.so.1.1.0	generic-artifact:9004e88a9f43b2d5cf74	libmount-glibc	2.40.2-1	aarch64	libmount.so.1.1.0	blk-utils;fdisk;libblkid;libfdisk;libmount;libsmartcols;libuuid;mount-utils;util-linux;uuid-utils	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:ff6dae6f57afefe0d2b1	gtk-gui	libmount.so.1.1.0	generic-artifact:5686fa74699186c96706	util-linux-glibc	2.40.2-1	aarch64	libmount.so.1.1.0	blk-utils;fdisk;libblkid;libfdisk;libmount;libsmartcols;libuuid;mount-utils;util-linux;uuid-utils	NAMED_MEMBER_SEARCH_CANDIDATE_ONLY	OPEN	OPEN	OPEN	UNRESOLVED	BLOCKED
