composition_row_id	provider_review_id	artifact_package	member_basename	member_sha256	member_size	size_state	size_source_kind	size_source_ref	size_source_member_path	resource_budget_state	authority_effect
COMP-FREETYPE-TRANSITIVE-ZLIB-001	FREETYPE-TRANSITIVE-ZLIB-001	zlib-glibc	libz.so.1.3.1	6835963ff1be924f73cdd59f29f2e2521d1705b3ce2d0e90a0c0fd4c5773a070	144000	EXACT	EXISTING_MEMBER_LOCK_SIZE	experiments/glibc/selected-obsidian-provider-authority/profiles/member-locks/gtk-font-device-compat-provider.tsv	data/data/com.termux/files/usr/glibc/lib/libz.so.1.3.1	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-FRIBIDI-PROV-001	FRIBIDI-PROV-001	fribidi-glibc	libfribidi.so.0.4.0	71668fd02e89fa7546446bb7961bb618f6d22e1506f7444bbea6788befbb7895	133080	EXACT	V101_INDEXED_PACKAGE_MEMBER	fribidi-glibc_1.0.16_aarch64	data/data/com.termux/files/usr/glibc/lib/libfribidi.so.0.4.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-GDKPIXBUF-PROV-001	GDKPIXBUF-PROV-001	project-gdk-pixbuf	libgdk_pixbuf-2.0.so.0.4200.12	0c1404c6854e7674428a5b653b240759dac0374631697fe61ae275898f6a809f	758824	EXACT	V101_INDEXED_PRIVATE_DEV_MEMBER	candidate/gdk-pixbuf-2.42.12-private-dev.tar.zst	private-prefix/lib/libgdk_pixbuf-2.0.so.0.4200.12	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-GDKPIXBUF-REF-PROV-GLIB-001-1	GDKPIXBUF-REF-PROV-GLIB-001	glib-glibc	libglib-2.0.so.0.8200.2	e0504b50e14870623e10490d76b78c7a8d0037a54fe354429e2e3b5ac07ae0d5	1576528	EXACT	V101_INDEXED_PACKAGE_MEMBER	glib-glibc_2.82.2-2_aarch64	data/data/com.termux/files/usr/glibc/lib/libglib-2.0.so.0.8200.2	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-GDKPIXBUF-REF-PROV-GLIB-001-2	GDKPIXBUF-REF-PROV-GLIB-001	glib-glibc	libgobject-2.0.so.0.8200.2	de13928664709a9cecd61f50dcc4d2294d0c2ff91f147d0827d209cd03af45a6	462584	EXACT	V101_INDEXED_PACKAGE_MEMBER	glib-glibc_2.82.2-2_aarch64	data/data/com.termux/files/usr/glibc/lib/libgobject-2.0.so.0.8200.2	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-GDKPIXBUF-REF-PROV-GLIB-001-3	GDKPIXBUF-REF-PROV-GLIB-001	glib-glibc	libgmodule-2.0.so.0.8200.2	feaad9c286e9a1af3cff94a78924f543bc0f4d7f8dfc05c9ec13eb1c3d8764bf	67472	EXACT	V101_INDEXED_PACKAGE_MEMBER	glib-glibc_2.82.2-2_aarch64	data/data/com.termux/files/usr/glibc/lib/libgmodule-2.0.so.0.8200.2	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-GDKPIXBUF-REF-PROV-GLIB-001-4	GDKPIXBUF-REF-PROV-GLIB-001	glib-glibc	libgio-2.0.so.0.8200.2	aa9fa8876fac7334570273064be05c3e65ba0f16d30a77a5929f48b12bfe64b3	2493872	EXACT	V101_INDEXED_PACKAGE_MEMBER	glib-glibc_2.82.2-2_aarch64	data/data/com.termux/files/usr/glibc/lib/libgio-2.0.so.0.8200.2	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-GDKPIXBUF-REF-PROV-LIBPNG-001-1	GDKPIXBUF-REF-PROV-LIBPNG-001	libpng-glibc	libpng16.so.16.47.0	00c9fd06c139699552c086b60d116a01d067ceddddb29c56600bf9fd3bae746f	292240	EXACT	V101_INDEXED_PACKAGE_MEMBER	libpng-glibc_1.6.47_aarch64	data/data/com.termux/files/usr/glibc/lib/libpng16.so.16.47.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-GDKPIXBUF-UTIL-PROV-001-1	GDKPIXBUF-UTIL-PROV-001	libmount-glibc	libmount.so.1.1.0	6864b9050ddd5884642c98ea4df07e3ceaf78727324d6e9068d1866594ece1c2	526912	EXACT	V101_INDEXED_PACKAGE_MEMBER	libmount-glibc_2.40.2-1_aarch64	data/data/com.termux/files/usr/glibc/lib/libmount.so.1.1.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-GDKPIXBUF-UTIL-PROV-001-2	GDKPIXBUF-UTIL-PROV-001	libblkid-glibc	libblkid.so.1.1.0	21d47963d42a5b1c4008c88a311c17142f57ee2f19cd30770f0befa364908fb3	396208	EXACT	EXISTING_MEMBER_LOCK_SIZE	experiments/glibc/selected-obsidian-provider-authority/profiles/member-locks/gtk-font-device-compat-provider.tsv	data/data/com.termux/files/usr/glibc/lib/libblkid.so.1.1.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-GRAPHITE2-HARFBUZZ-PREQ-PROV-001	GRAPHITE2-HARFBUZZ-PREQ-PROV-001	libgraphite-glibc	libgraphite2.so.3.2.1	6caaa46abe585228b0fa45a60bdbb5e9951384148963856d1ce2e886e5b06e7f	225312	EXACT	V101_INDEXED_PACKAGE_MEMBER	libgraphite-glibc_1.3.14_aarch64	data/data/com.termux/files/usr/glibc/lib/libgraphite2.so.3.2.1	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-GTK3-CORE-PROV-001-1	GTK3-CORE-PROV-001	gtk3-glibc	libgdk-3.so.0.2417.32	a237c3070ff1704f119cc318b6b837a9430a350648476123c1be75ba768d415d	1367912	EXACT	V101_INDEXED_PACKAGE_MEMBER	gtk3-glibc_3.24.49_aarch64	data/data/com.termux/files/usr/glibc/lib/libgdk-3.so.0.2417.32	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-GTK3-CORE-PROV-001-2	GTK3-CORE-PROV-001	gtk3-glibc	libgtk-3.so.0.2417.32	0404b91acdaa3a2558e3a11214918692f64d0ba3cebaae4722e3aa4a61f31bc6	9900712	EXACT	V101_INDEXED_PACKAGE_MEMBER	gtk3-glibc_3.24.49_aarch64	data/data/com.termux/files/usr/glibc/lib/libgtk-3.so.0.2417.32	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-HARFBUZZ-PROV-001	HARFBUZZ-PROV-001	harfbuzz-glibc	libharfbuzz.so.0.61010.0	179133d6e95f6e378f44ad9222255620ecdd39c30c5aedce028d99f2b28470c6	1314680	EXACT	V101_INDEXED_PACKAGE_MEMBER	harfbuzz-glibc_10.1.0_aarch64	data/data/com.termux/files/usr/glibc/lib/libharfbuzz.so.0.61010.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-LIBCLOUDPROVIDERS-PROV-001	LIBCLOUDPROVIDERS-PROV-001	libcloudproviders-glibc	libcloudproviders.so.0.3.6	54dea7e30b9e02f5626a374e5b62e5e975684a426a940f525a18eb4ce9e4f030	133104	EXACT	V101_INDEXED_PACKAGE_MEMBER	libcloudproviders-glibc_0.3.6_aarch64	data/data/com.termux/files/usr/glibc/lib/libcloudproviders.so.0.3.6	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-LIBDATRIE-PROV-001	LIBDATRIE-PROV-001	libdatrie-glibc	libdatrie.so.1.4.0	8052746b4003c367e811dc26686373455f687e11bf95cbbe8772a2069b86e7dd	76248	EXACT	V101_INDEXED_PACKAGE_MEMBER	libdatrie-glibc_0.2.13_aarch64	data/data/com.termux/files/usr/glibc/lib/libdatrie.so.1.4.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-LIBEPOXY-PROV-001	LIBEPOXY-PROV-001	libepoxy-glibc	libepoxy.so.0.0.0	403f566468fb5212173407d041a660af0ff459841e9b0ca2274e9c28ac98c723	1406520	EXACT	V101_INDEXED_PACKAGE_MEMBER	libepoxy-glibc_1.5.10_aarch64	data/data/com.termux/files/usr/glibc/lib/libepoxy.so.0.0.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-LIBICONV-TRANSITIVE-PROV-001	LIBICONV-TRANSITIVE-PROV-001	libiconv-glibc	libiconv.so.2.7.0	3d3edba1ecd510ddac243a3c9a5a08341219b62bc4c874241a134bc7d250f5be	1177880	EXACT	V101_INDEXED_PACKAGE_MEMBER	libiconv-glibc_1.18_aarch64	data/data/com.termux/files/usr/glibc/lib/libiconv.so.2.7.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-LIBJPEG-PROV-001	LIBJPEG-PROV-001	project-libjpeg-turbo-v6b	libjpeg.so.62.4.0	a537840ef9da6135cb3284bc3b3e0d1fb4f624180a416c2a3964b94714eb7fe5	770664	EXACT	V101_INDEXED_PRIVATE_DEV_MEMBER	candidate/gdk-pixbuf-2.42.12-private-dev.tar.zst	private-prefix/lib/libjpeg.so.62.4.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-LIBTHAI-PROV-001	LIBTHAI-PROV-001	libthai-glibc	libthai.so.0.3.1	773a629e30546b57d650d9d991d18c64490ef5cf53062fec1e02c69ece66bf9c	78664	EXACT	V101_INDEXED_PACKAGE_MEMBER	libthai-glibc_0.1.29_aarch64	data/data/com.termux/files/usr/glibc/lib/libthai.so.0.3.1	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-LIBXCURSOR-PROV-001	LIBXCURSOR-PROV-001	libxcursor-glibc	libXcursor.so.1.0.2	86e70b94186edb4c16cf00f2bcea4a03ea09bb486ee6a079dd11d3ef6fffe722	77288	EXACT	V101_INDEXED_PACKAGE_MEMBER	libxcursor-glibc_1.2.3_aarch64	data/data/com.termux/files/usr/glibc/lib/libXcursor.so.1.0.2	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-LIBXDAMAGE-PROV-001	LIBXDAMAGE-PROV-001	libxdamage-glibc	libXdamage.so.1.1.0	391916aff0965656e7b81ece7766e3b22068462867b1dd88a0a051b3db9c2d7c	70712	EXACT	V101_INDEXED_PRIVATE_DEV_MEMBER	candidate/gdk-pixbuf-2.42.12-private-dev.tar.zst	private-prefix/lib/libXdamage.so.1.1.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-LIBXKBCOMMON-PROV-001	LIBXKBCOMMON-PROV-001	libxkbcommon-glibc	libxkbcommon.so.0.8.0	fee84d5d95a085a94d300186040a54b9844a491b599b1156867624af6b4e8ba9	329744	EXACT	V101_INDEXED_PACKAGE_MEMBER	libxkbcommon-glibc_1.8.0_aarch64	data/data/com.termux/files/usr/glibc/lib/libxkbcommon.so.0.8.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-PANGO-PROV-001-1	PANGO-PROV-001	pango-glibc	libpango-1.0.so.0.5400.0	7debdcbc3dec18f7377e53a07a4d14159cde68b4cc07f0ed1c087f9d56268336	527688	EXACT	V101_INDEXED_PACKAGE_MEMBER	pango-glibc_1.54.0_aarch64	data/data/com.termux/files/usr/glibc/lib/libpango-1.0.so.0.5400.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-PANGO-PROV-001-2	PANGO-PROV-001	pango-glibc	libpangoft2-1.0.so.0.5400.0	d80ef53ee344d7661acfa9b2fc863a61f24a2ff4f4492162eaa1582d62c2b305	132848	EXACT	V101_INDEXED_PACKAGE_MEMBER	pango-glibc_1.54.0_aarch64	data/data/com.termux/files/usr/glibc/lib/libpangoft2-1.0.so.0.5400.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-PANGO-PROV-001-3	PANGO-PROV-001	pango-glibc	libpangocairo-1.0.so.0.5400.0	c5ac95a46ad20c9536c0d63b38e1ee728f2d71e865e5aad6034e65f89f0ba708	67432	EXACT	V101_INDEXED_PACKAGE_MEMBER	pango-glibc_1.54.0_aarch64	data/data/com.termux/files/usr/glibc/lib/libpangocairo-1.0.so.0.5400.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-PIXMAN-CAIRO-PREQ-PROV-001	PIXMAN-CAIRO-PREQ-PROV-001	libpixman-glibc	libpixman-1.so.0.46.4	cab54c7f8e4c3a5c1980aa7564b9321114418f2d3c6fa37a3c0723f9f22e1eb2		OPEN	NONE	-	-	BLOCKED_EXACT_SIZE_REQUIRED	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-XORG-PROV-001	XORG-PROV-001	libxfixes-glibc	libXfixes.so.3.1.0	271e82cbc4aa3db8ff36ad44735552153b6fbaa787bf59b6ec0b20f63d0f386d	72968	EXACT	V101_INDEXED_PACKAGE_MEMBER	libxfixes-glibc_6.0.1_aarch64	data/data/com.termux/files/usr/glibc/lib/libXfixes.so.3.1.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-XORG-PROV-002	XORG-PROV-002	libxcomposite-glibc	libXcomposite.so.1.0.0	1f478bf11bbe2182f1316611d0f0ef56596918d27ce69c3b034dcbd1baee4c2d	70816	EXACT	V101_INDEXED_PACKAGE_MEMBER	libxcomposite-glibc_0.4.6_aarch64	data/data/com.termux/files/usr/glibc/lib/libXcomposite.so.1.0.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-XORG-PROV-003	XORG-PROV-003	libxi-glibc	libXi.so.6.1.0	6f50cad56bb44c7900e692697bb5afcdd68c889be0c95eeda3775c8a2ac4de00	146048	EXACT	V101_INDEXED_PACKAGE_MEMBER	libxi-glibc_1.8.2_aarch64	data/data/com.termux/files/usr/glibc/lib/libXi.so.6.1.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
COMP-XORG-PROV-004	XORG-PROV-004	libxinerama-glibc	libXinerama.so.1.0.0	bff931629d90ef6858b43e6fa3b593b7a646ae8febcc2576e906fc9c397d1e2a	70832	EXACT	V101_INDEXED_PACKAGE_MEMBER	libxinerama-glibc_1.1.5_aarch64	data/data/com.termux/files/usr/glibc/lib/libXinerama.so.1.0.0	COUNTED_EXACT	READ_ONLY_SIZE_EVIDENCE_ONLY_NO_BYTE_ACQUISITION_OR_TARGET_WRITE
