object_id	coverage_evidence_row_id	package	content_sha256	label	semantic_role_state	termux_android_adaptation_state	adaptation_evidence_ref	candidate_source_comparison_state	exact_supply_artifact_state	supply_artifact_id	artifact_member_relative_path	artifact_to_recipe_binding_state	necessity	final	authority_issue_ids
object:e86d7a0f2c3be107c901c4c3	selected:26b43bfef72cfc877f24	libcap-glibc	e86d7a0f2c3be107c901c4c38bb68d465011ff94089ceba55edfbac123a0d06f	libcap.so.2	PLATFORM_OR_GENERIC	UNRESOLVED	LIBCAP_SELECTED_OBJECT_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:8beffad4a426122b276b1b63	lib/libcap.so.2.69	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-003;AUTH-004
object:9cca00af0761fdaf9e29d1ee	selected:c122af7e5dd0503cfd4a	libdrm-glibc	9cca00af0761fdaf9e29d1ee0410ba00e3676717c1935ceced51e10646d2bd9b	libdrm.so.2	GENERIC_CANDIDATE	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:08efad935d3e88f5f359346b	lib/libdrm.so.2.124.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-005
object:48f8acf398ac16610f175b58	selected:9b67e335d60927004eaa	libexpat-glibc	48f8acf398ac16610f175b58b07630dec00a1086bbe1cace957e6c6907b6b33f	libexpat.so.1	GENERIC_CANDIDATE	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:f911eb4f29a2f1f048562db8	lib/libexpat.so.1.10.0	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-009
object:79a8128d9967c2a2fdc73416	selected:74956b4ff456366345bf	libffi-glibc	79a8128d9967c2a2fdc734169ead01297e079e321461c8de28f308d6745ada3f	libffi.so.8	GENERIC_CANDIDATE	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:19811ab9f293fd711ea5d2d2	lib/libffi.so.8.1.4	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-003;AUTH-004
object:3c819f7e21c052411be1fa98	selected:b43cacac7f916892c956	libgmp-glibc	3c819f7e21c052411be1fa9885c77e6cb448c43f9bda781a83969c048d7f7d8c	libgmp.so.10	GENERIC_CANDIDATE	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:949244528741732444a89976	lib/libgmp.so.10.5.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-004
object:578e986a2ad698ae4063d218	selected:45f912b46453a9ba2e3d	libidn2-glibc	578e986a2ad698ae4063d218d6eaea36d75182944c7e79398a90d2948410c13f	libidn2.so.0	GENERIC_CANDIDATE	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:36a478c9a797900e12907f7a	lib/libidn2.so.0.4.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-004
object:4a793b4fed75b236775f74dd	selected:a87bb0ebfae66d0c45c7	libunistring-glibc	4a793b4fed75b236775f74dda312f2440a5d9a248d77a557f0d4b0ae9e210186	libunistring.so.5	GENERIC_CANDIDATE	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:4adb3b76dfaf0ab7e4fb12d8	lib/libunistring.so.5.2.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-004
object:8a6f8fad77f495d7a0947ae6	selected:44dec56d061cefaae918	libwayland-glibc	8a6f8fad77f495d7a0947ae613d93100968e1e088c07d0b35d87201f692fc626	libwayland-client.so.0	GENERIC_CANDIDATE	UNRESOLVED	MIXED_RECIPE_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:dedc307a6a818b028343e00e	lib/libwayland-client.so.0.23.1	MULTIPLE_CANDIDATES_UNBOUND	CONDITIONAL	PROVISIONAL	AUTH-003
object:57e7e3396724848d94c04c4a	selected:f46e2ef79c08b615a4a1	libwayland-glibc	57e7e3396724848d94c04c4adb8ff5dd9a4b54d3ccfd470c104a3d259329e6db	libwayland-cursor.so.0	GENERIC_CANDIDATE	UNRESOLVED	MIXED_RECIPE_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:dedc307a6a818b028343e00e	lib/libwayland-cursor.so.0.23.1	MULTIPLE_CANDIDATES_UNBOUND	CONDITIONAL	PROVISIONAL	AUTH-003
object:eb3060f4c34f9e1f10b249fd	selected:dd9175232a65f32a7859	libwayland-glibc	eb3060f4c34f9e1f10b249fdb046190b35e741dfb6ac45c7c3123c916c8886df	libwayland-egl.so.1	GENERIC_CANDIDATE	UNRESOLVED	MIXED_RECIPE_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:dedc307a6a818b028343e00e	lib/libwayland-egl.so.1.23.1	MULTIPLE_CANDIDATES_UNBOUND	CONDITIONAL	PROVISIONAL	AUTH-003
