alias_id	object_id	supply_artifact_id	artifact_alias_relative_path	literal_link_target	alias_class	classification_evidence	dependent_fragment_ids	target_alias_inclusion_state	target_population_state
alias:9cbba2256ef8df6b482226e9	object:1d28ce6412b7919e6ad7592d	artifact:a0c249dd82f5bcf46d61501a	lib/libX11.so.6	libX11.so.6.4.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	base-obsidian-x11-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:843aa8a5852a592d27af76fe	object:1a8bc733979360f2e3327d80	artifact:7f2c0624638feed515899e3a	lib/libXau.so.6	libXau.so.6.0.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	base-obsidian-x11-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:982e0a010012ea820bc3e19b	object:8039415811aa6c775e594574	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-dri3.so.0	libxcb-dri3.so.0.1.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	graphics-freedreno-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:9f586ad693cdda6dd6a318dc	object:1969de5b3ffa90af342e1574	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-present.so.0	libxcb-present.so.0.0.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	graphics-freedreno-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:73c7fdedac86b5dc457e558c	object:ef12d668682ac99dba386b01	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-randr.so.0	libxcb-randr.so.0.1.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	graphics-freedreno-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:cdbd864d56fd6f3df418bfd8	object:1a86c1656e55d68baa3b11cb	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-render.so.0	libxcb-render.so.0.0.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	base-obsidian-x11-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:250aa271a997ec2018a43bfb	object:e4e455da0829126d0fc2a4c2	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-shm.so.0	libxcb-shm.so.0.0.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	base-obsidian-x11-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:bbeda4f79592472f6ab7e8b7	object:2dc864a8050acf3ab0eb896d	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-sync.so.1	libxcb-sync.so.1.0.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	graphics-freedreno-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:291ac3888aeb06f8b9fc6bae	object:db5ce18da1b567a27ecd1a9e	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-xfixes.so.0	libxcb-xfixes.so.0.0.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	graphics-freedreno-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:97ac5672233625b7e924cd7a	object:b57cfc342b0efd864caa8677	artifact:5e737e2bb57a0a1919be298b	lib/libxcb.so.1	libxcb.so.1.1.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	base-obsidian-x11-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:114f8e8c9cb0d2783bc6ea1e	object:0245743bb594ee1ac2c13258	artifact:b07513746d141bb11ff2c5cd	lib/libXdmcp.so.6	libXdmcp.so.6.0.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	base-obsidian-x11-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:1a74650d5c7e7f8b426bc067	object:a93ba9939545c2ea11ebba52	artifact:09a989f92535f27343bf9d89	lib/libXext.so.6	libXext.so.6.4.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	base-obsidian-x11-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:7bcbac6bf14a083d3d2eedfc	object:c1b8c73864685b43eeead0ae	artifact:2e403fc0d8f319933866f634	lib/libXrandr.so.2	libXrandr.so.2.2.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	base-obsidian-x11-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:a5e1c1f1bf7b149549d0da90	object:d05d09c2acfd577d27b7cc02	artifact:86b181007e83f8055f77b964	lib/libXrender.so.1	libXrender.so.1.3.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	base-obsidian-x11-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:cec1a14b1c12b8403874a162	object:5a0652d801ce63a2e33ccb1b	artifact:dca9418b1c3bd24b7bb47261	lib/libxshmfence.so.1	libxshmfence.so.1.0.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	graphics-freedreno-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:48545d029fdf4583d80ac534	object:c3656101f42f24ed0043c0fe	artifact:31b77b0abaa38dc24af90912	lib/libpcre2-8.so.0	libpcre2-8.so.0.14.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	gtk-font-device-compat-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:c6033a13b0fde650cbed9072	object:6835963ff1be924f73cdd59f	artifact:9e9ea87059482894e4c6cef1	lib/libz.so.1	libz.so.1.3.1	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	graphics-freedreno-provider-fragment;gtk-font-device-compat-provider-fragment;printing-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:b403210a54eda65a140c1c23	object:4c03a9a2d4770a862c70dc16	artifact:5829a6c2f6f191174b4ee235	lib/libzstd.so.1	libzstd.so.1.5.7	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	graphics-freedreno-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
